Fuji_2MBI200XAA065-50_tj25_X;Fuji_2MBI200XAA065-50_tj25_Y;Infineon_IPBE65R050CFD7A_tj25_X;Infineon_IPBE65R050CFD7A_tj25_Y
0.0;3.1959e-08;0.0;8.630410040722524e-09
0.33193;2.9412e-08;1.0286929581612867;7.206626360350836e-09
0.98711;2.4132e-08;2.5940337224383967;5.776611383631444e-09
1.5888;2.3603e-08;10.75207154548903;5.093865736579417e-09
2.1906;2.3372e-08;26.031666468432633;4.962143658137153e-09
2.7924;2.3372e-08;41.311261391376235;4.927519951736023e-09
3.3943;2.3372e-08;56.590856314319836;4.931553294649914e-09
3.9961;2.3372e-08;71.87045123726344;4.9355899389923365e-09
4.5979;2.3199e-08;87.15004616020704;4.939629887465644e-09
5.1998;2.3161e-08;102.42964108315064;4.943673142774398e-09
5.8016;2.3161e-08;117.70923600609424;4.947719707625318e-09
6.4035;2.3142e-08;132.98883092903785;4.9517695847274166e-09
7.0053;2.2953e-08;148.26842585198145;4.955822776791843e-09
7.6071;2.2953e-08;162.85349373297308;4.959694827712913e-09
8.209;2.2953e-08;213.55396779546777;4.97317836628892e-09
8.8108;2.2953e-08;228.83356271841137;4.9772490821702465e-09
9.4126;2.2953e-08;244.11315764135497;4.981323130071192e-09
10.014;2.2953e-08;259.3927525642986;4.985400512719089e-09
10.616;2.2953e-08;274.6723474872422;4.98948123284356e-09
11.218;2.2953e-08;289.9519424101858;4.993565293176464e-09
11.82;2.2953e-08;305.2315373331294;4.997652696451835e-09
12.422;2.2953e-08;320.511132256073;5.001743445406027e-09
13.024;2.2953e-08;335.7907271790166;5.012366260558638e-09
13.626;2.2953e-08;351.0703221019602;5.023011636684858e-09
14.227;2.2953e-08;366.3499170249038;5.020575203849153e-09
14.829;2.2953e-08;381.6295119478474;5.024684715656399e-09
15.431;2.2953e-08;396.909106870791;5.028797591239011e-09
16.033;2.2953e-08;412.1887017937346;5.039477864594633e-09
16.635;2.3152e-08;427.4682967166782;5.037033444746124e-09
17.237;2.3295e-08;442.74789163962174;5.041156428184099e-09
17.839;2.2953e-08;458.02748656256534;5.051862949515433e-09
18.44;2.2953e-08;473.30708148550895;5.049412522229582e-09
19.042;2.2953e-08;488.58667640845255;5.060136578039e-09
19.644;2.2953e-08;498.3100549957804;5.073781675017386e-09
20.246;2.2953e-08;;
20.848;2.2953e-08;;
21.45;2.2953e-08;;
22.051;2.2953e-08;;
22.653;2.2953e-08;;
23.255;2.2953e-08;;
23.857;2.2953e-08;;
24.459;2.2953e-08;;
25.061;2.2953e-08;;
25.663;2.2953e-08;;
26.264;2.2953e-08;;
26.866;2.2953e-08;;
27.468;2.2953e-08;;
28.07;2.2953e-08;;
28.672;2.2953e-08;;
29.274;2.2953e-08;;
29.889;2.3144e-08;;
