Fuji_2MBI200XBE120-50_tj25_X;Fuji_2MBI200XBE120-50_tj25_Y;Fuji_2MBI200XBE120-50_tj125_X;Fuji_2MBI200XBE120-50_tj125_Y;Fuji_2MBI200XBE120-50_tj150_X;Fuji_2MBI200XBE120-50_tj150_Y;Fuji_2MBI200XBE120-50_tj175_X;Fuji_2MBI200XBE120-50_tj175_Y;Semikron_SKM400GB12T4_tj25_X;Semikron_SKM400GB12T4_tj25_Y;Semikron_SKM400GB12T4_tj150_X;Semikron_SKM400GB12T4_tj150_Y
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.79121;0.0;0.56483;0.0;0.56482;0.0;0.57851;0.0;0.80076;0.0;0.51446;0.0
0.8666;5.2064;0.64026;2.3134;0.64022;4.7373;0.65388;9.1442;0.89625;13.88;0.60994;12.857
0.94192;13.789;0.71564;7.2845;0.71559;10.698;0.72923;16.187;0.9932;19.958;0.80104;34.541
1.0138;24.472;0.791;14.086;0.79093;18.736;0.79771;24.13;1.0873;28.753;0.8966;46.936
1.0754;36.054;0.86633;22.519;0.86624;28.159;0.90039;38.31;1.1828;39.731;0.99363;60.504
1.1301;47.907;0.94164;32.635;0.94153;39.412;0.97224;49.923;1.2784;52.362;1.0878;75.897
1.1813;60.244;1.0169;45.009;1.01;50.982;1.0372;61.631;1.374;68.063;1.1834;93.906
1.2269;72.243;1.0853;56.629;1.0715;62.993;1.0988;73.562;1.4653;84.906;1.3573;128.83
1.2633;83.674;1.1435;68.452;1.1296;74.977;1.1603;86.036;1.6871;139.05;1.4965;161.13
1.3042;96.772;1.1982;79.829;1.1843;86.796;1.215;98.072;1.748;157.08;1.5704;179.66
1.3418;109.68;1.2529;91.024;1.2287;98.528;1.2697;109.87;1.809;177.09;1.64;198.03
1.3827;122.39;1.3041;104.36;1.2697;109.26;1.3203;123.11;1.8699;197.84;1.7096;216.61
1.4237;135.33;1.3554;116.65;1.3176;121.62;1.3825;139.13;1.9265;218.18;1.7749;234.74
1.4647;148.39;1.4032;128.8;1.3654;133.45;1.4303;150.75;1.9788;237.49;1.8401;254.0
1.4953;160.03;1.4442;141.78;1.4132;146.14;1.4713;162.65;2.0267;257.39;1.9098;274.75
1.5226;174.65;1.4852;153.56;1.4576;158.29;1.5123;174.27;2.0746;277.28;1.9794;295.64
1.5567;186.63;1.5296;165.62;1.502;170.81;1.5498;185.22;2.1226;297.86;2.0447;316.83
1.5908;198.83;1.574;178.19;1.543;182.28;1.5874;197.87;2.1662;316.55;2.1056;336.01
1.6249;210.69;1.6149;191.08;1.5805;195.42;1.6317;212.02;2.2097;335.4;2.1666;356.02
1.6556;225.19;1.6559;204.15;1.625;207.61;1.6796;225.15;2.2533;355.81;2.2319;376.23
1.6828;238.67;1.6951;216.82;1.6693;220.84;1.7205;236.57;2.2969;376.92;2.3059;401.88
1.71;250.37;1.7344;229.46;1.7103;232.65;1.7581;248.49;2.4322;446.24;2.3679;420.33
1.7373;262.63;1.7685;240.68;1.7513;245.45;1.7991;261.51;2.4888;467.2;2.4191;440.93
1.7762;275.18;1.8026;252.34;1.7922;258.7;1.8366;273.24;2.5428;497.28;2.4811;460.0
1.7994;285.96;1.8368;263.88;1.8298;270.52;1.8741;285.75;2.659;567.49;2.5149;477.52
1.819;299.93;1.8709;275.65;1.8639;281.74;1.9117;298.51;2.6939;586.96;2.6094;509.88
1.8463;312.45;1.905;287.96;1.898;293.5;1.9458;310.28;2.7288;605.92;2.737;560.82
1.8735;325.65;1.9357;299.01;1.9356;306.08;1.9834;321.79;2.7637;625.45;2.7893;580.86
1.9008;338.45;1.9664;310.42;1.9731;319.32;2.0278;332.72;2.7987;645.35;2.8416;601.73
1.928;351.52;2.0005;322.81;2.0072;331.63;2.0619;345.68;2.8336;665.68;2.8895;622.03
1.9552;364.99;2.0312;335.1;2.0447;344.57;2.0937;357.56;2.8685;686.66;2.9331;639.67
1.9825;377.92;2.0618;348.19;2.0823;356.57;2.1232;371.17;2.9034;706.93;2.9866;660.92
2.0199;398.99;2.0959;360.71;2.1164;368.45;2.1539;382.2;2.9383;727.97;3.0333;681.76
2.0029;387.45;2.13;373.78;2.1505;382.82;2.1949;396.83;2.9828;750.29;3.0763;701.08
;;2.1642;386.31;2.1846;395.42;;;3.0082;768.63;3.1335;721.14
;;2.1983;398.68;;;;;3.03;780.75;3.1814;741.72
;;;;;;;;;;3.2294;762.48
;;;;;;;;;;3.2729;778.39
