Fuji_2MBI100XAA120-50_tj25_X;Fuji_2MBI100XAA120-50_tj25_Y;Fuji_2MBI100XAA120-50_tj125_X;Fuji_2MBI100XAA120-50_tj125_Y;Fuji_2MBI100XAA120-50_tj150_X;Fuji_2MBI100XAA120-50_tj150_Y;Fuji_2MBI100XAA120-50_tj175_X;Fuji_2MBI100XAA120-50_tj175_Y;Mitsubishi_CM200DY-24T_tj125_X;Mitsubishi_CM200DY-24T_tj125_Y;Mitsubishi_CM200DY-24T_tj150_X;Mitsubishi_CM200DY-24T_tj150_Y
0.57951;0.00755;0.59144;0.00979;0.59144;0.01035;0.59144;0.01088;1.185;0.021016;1.3158;0.022716
0.67295;0.00754;0.77091;0.00977;0.68681;0.01034;0.68681;0.0109;1.7362;0.021016;1.6094;0.022637
0.78145;0.00752;0.99802;0.00975;0.90131;0.01031;0.79755;0.01092;2.4252;0.020911;1.903;0.022527
0.90746;0.00752;1.30085;0.00975;1.03955;0.0103;0.92614;0.01092;3.1417;0.020911;2.1966;0.022493
1.05377;0.0075;1.69558;0.00978;1.35499;0.01032;1.07548;0.01092;3.8583;0.020911;3.0774;0.022355
1.22369;0.0075;2.19511;0.00978;1.57346;0.01033;1.24889;0.01089;4.685;0.020911;3.371;0.022341
1.43068;0.0075;2.86118;0.00977;2.03702;0.01034;1.45026;0.01087;5.3465;0.020911;3.6646;0.022341
1.66137;0.0075;3.72937;0.00977;2.36547;0.01035;1.6841;0.01084;5.9528;0.021016;3.9582;0.022332
1.92924;0.0075;4.86099;0.00976;3.10426;0.01034;1.95564;0.01082;6.6417;0.021121;4.2518;0.022341
2.24032;0.0075;6.29307;0.00974;3.58038;0.01035;2.27097;0.01082;7.2756;0.021226;4.5454;0.022341
2.60155;0.0075;8.20261;0.00973;4.66679;0.01034;2.63714;0.01082;7.9646;0.021436;4.839;0.022341
3.04162;0.00748;10.69157;0.00968;5.41927;0.01033;3.06236;0.01082;8.8465;0.021541;5.1326;0.022341
3.53205;0.00747;13.84139;0.00963;7.11182;0.01032;3.55613;0.01082;9.9213;0.021856;5.4262;0.022341
4.10156;0.00745;18.04135;0.00958;8.20261;0.0103;4.12953;0.01082;11.051;0.022067;5.7278;0.022427
4.7629;0.00745;23.35648;0.00959;10.69157;0.01026;4.79537;0.01084;11.961;0.022277;6.0112;0.022493
5.53087;0.00744;30.44365;0.00968;12.33141;0.01022;5.56858;0.01084;;;6.307;0.022503
6.42267;0.00742;39.4126;0.00979;16.07319;0.01017;6.46646;0.01083;;;6.6006;0.022549
7.45827;0.0074;51.37175;0.00991;18.66483;0.01016;7.50912;0.01082;;;6.8942;0.022618
8.66084;0.0074;;;24.49427;0.01019;8.71989;0.01079;;;7.1878;0.022679
10.05732;0.00738;;;28.25112;0.01024;10.12589;0.01078;;;7.4814;0.022762
11.67897;0.00737;;;36.82349;0.01035;11.7586;0.01077;;;7.775;0.022836
13.56209;0.00736;;;42.47136;0.01042;13.65456;0.01077;;;8.0686;0.022896
15.74885;0.00732;;;53.87428;0.01053;15.85623;0.01075;;;8.3622;0.022965
18.28821;0.00726;;;;;18.4129;0.01069;;;8.6558;0.023058
21.23701;0.00722;;;;;21.3818;0.01066;;;8.9574;0.023135
24.82942;0.00722;;;;;24.82942;0.01069;;;9.243;0.023215
29.17783;0.00728;;;;;28.83292;0.01076;;;9.5366;0.023289
33.88248;0.00734;;;;;33.48196;0.01085;;;9.8302;0.023359
39.3457;0.00742;;;;;38.88061;0.01095;;;10.124;0.023451
45.68983;0.00749;;;;;45.14974;0.01105;;;10.417;0.023525
52.42971;0.00755;;;;;52.42971;0.01115;;;10.711;0.023594
;;;;;;;;;;11.005;0.023678
;;;;;;;;;;11.298;0.023756
;;;;;;;;;;11.592;0.02383
;;;;;;;;;;11.883;0.023946
