X;Y
0.0;6.5706e-09
1.6077;4.6923e-09
4.4678;3.6023e-09
7.074;2.871e-09
10.289;2.3965e-09
11.254;2.0517e-09
11.897;1.8025e-09
13.949;1.6725e-09
16.462;1.5172e-09
18.975;1.4009e-09
21.488;1.3066e-09
24.002;1.2166e-09
26.515;1.1234e-09
29.028;1.0533e-09
31.541;1.0065e-09
34.054;9.5446e-10
44.106;8.4744e-10
46.815;8.2044e-10
54.159;7.5362e-10
56.672;7.5362e-10
59.185;7.4782e-10
71.852;6.5816e-10
74.106;6.5301e-10
76.777;6.5692e-10
79.29;6.5107e-10
81.898;6.5285e-10
84.262;6.4028e-10
91.856;6.0662e-10
94.369;6.0195e-10
96.882;5.9932e-10
109.45;5.5437e-10
111.96;5.4872e-10
114.47;5.4132e-10
116.99;5.3805e-10
119.5;5.3124e-10
122.01;5.2803e-10
124.53;5.2135e-10
127.04;5.1864e-10
129.55;5.1207e-10
132.07;5.0941e-10
134.58;5.0337e-10
137.09;5.0034e-10
139.6;4.9483e-10
142.12;4.9308e-10
144.63;4.8684e-10
147.3;4.7372e-10
157.0;4.6523e-10
182.33;4.3177e-10
184.84;4.3097e-10
187.35;4.2837e-10
190.03;4.3233e-10
192.38;4.3853e-10
194.89;4.3988e-10
197.19;4.33e-10
199.87;4.1864e-10
245.36082474226794;3.6481383710383357e-10
307.2164948453608;3.2609068943946254e-10
379.3814432989691;2.913744538295114e-10
476.2886597938144;2.601326651957937e-10
600.0;2.385009096766232e-10
738.1443298969072;2.185594337519401e-10
927.8350515463917;2.2319667642912391e-10
1068.041237113402;2.2212273351619611e-10
1193.8144329896907;2.211637411751319e-10
