X;Y
7.982943367;2.98e-07
23.20214489;4.74e-07
38.421346413;7.44e-07
53.640547935;1.026e-06
68.859749458;1.375e-06
84.07895098;2.758e-06
99.298152503;4.002e-06
114.517354026;4.875e-06
129.736555548;5.825e-06
144.955757071;6.821e-06
160.174958594;7.88e-06
175.394160116;9e-06
191.677641466;9.91e-06
205.832563162;1.1529e-05
221.051764684;1.2592e-05
236.270966207;1.3913e-05
251.49016773;1.5219e-05
266.248181327;1.6345e-05
281.928570775;1.8394e-05
297.147772298;1.9601e-05
312.36697382;2.0759e-05
327.586175343;2.2518e-05
342.805376866;2.4183e-05
358.024578388;2.5798e-05
373.243779911;2.7491e-05
388.462981434;2.9168e-05
403.220995031;3.0619e-05
421.668512028;3.3015e-05
436.887713551;3.4847e-05
450.921003267;3.6494e-05
467.326116596;3.8665e-05
482.545318119;4.041e-05
512.983721164;4.4469e-05
528.202922687;4.6502e-05
543.42212421;4.8566e-05
558.641325732;5.0661e-05
573.860527255;5.2786e-05
589.079728778;5.4912e-05
602.02593267;5.7217e-05
618.134568048;5.9303e-05
633.353769571;6.1249e-05
663.792172616;6.6036e-05
679.011374139;6.8393e-05
694.230575661;7.0859e-05
709.449777184;7.3279e-05
724.853453877;7.6175e-05
739.888180229;7.8505e-05
755.107381752;8.067e-05
769.581587396;8.2928e-05
785.545784797;8.6336e-05
800.658558337;8.8676e-05
821.518442942;9.295e-05
836.737644464;9.6314e-05
853.340409762;9.9117e-05
883.778812807;0.000105103
898.99801433;0.000108187
914.217215852;0.000111349
929.436417375;0.000114542
947.422746447;0.00011858
963.218432876;0.00012136
977.861149493;0.000125063
993.656835921;0.000128087
1006.915988763;0.000131991
1021.443408398;0.000134789
1047.615823138;0.000140831
1062.258539755;0.000144565
1077.477741277;0.0001483
1092.6969428;0.000152034
1103.073671111;0.00015458
1120.368218296;0.000159164
1134.895637931;0.000162916
1148.731275679;0.000166481
1162.566913427;0.000170182
1176.402551174;0.000173764
1186.779279485;0.00017729
