X;Y
0.0;-3.8443
5.4903e-09;-3.1894
9.1934e-09;-2.627
1.2896e-08;-2.0647
1.66e-08;-1.494
2.0303e-08;-0.92879
2.38e-08;-0.39704
2.7297e-08;0.13471
3.1001e-08;0.69987
3.4498e-08;1.2347
3.7995e-08;1.7717
4.1698e-08;2.3341
4.5196e-08;2.8665
4.8693e-08;3.4059
5.2396e-08;3.9683
5.6099e-08;4.5335
5.9803e-08;5.0958
6.3506e-08;5.661
6.7616e-08;6.086
7.2132e-08;6.2438
7.6647e-08;6.3993
8.1163e-08;6.5526
8.5678e-08;6.7082
9.0194e-08;6.8638
9.471e-08;7.0193
9.9225e-08;7.1726
1.0374e-07;7.3304
1.0826e-07;7.4837
1.1277e-07;7.6393
1.1729e-07;7.7994
1.218e-07;7.9481
1.2632e-07;8.106
1.3084e-07;8.4208
1.3536e-07;8.7925
1.3988e-07;9.1596
1.444e-07;9.5267
1.4892e-07;9.9053
1.5344e-07;10.27
1.5796e-07;10.649
1.6248e-07;11.016
1.67e-07;11.383
1.7151e-07;11.759
1.7603e-07;12.124
1.8055e-07;12.498
1.8507e-07;12.872
1.8959e-07;13.239
1.9411e-07;13.608
1.9863e-07;13.98
2.0315e-07;14.352
2.0767e-07;14.724
2.1075e-07;14.973
