X;Y
1.9719;3.2012e-08
12.394;3.9293e-08
22.819;7.8428e-08
33.246;1.7065e-07
43.674;2.741e-07
54.101;3.6875e-07
64.529;4.7432e-07
74.957;5.8899e-07
85.387;7.1641e-07
95.816;8.4902e-07
106.25;9.9126e-07
116.68;1.1423e-06
127.11;1.3025e-06
137.54;1.4682e-06
147.97;1.6393e-06
158.4;1.8276e-06
168.83;2.0133e-06
179.27;2.1835e-06
189.7;2.4037e-06
200.05;2.598e-06
210.57;2.8224e-06
221.0;3.0445e-06
231.44;3.2665e-06
241.87;3.4977e-06
252.31;3.7556e-06
262.74;3.98e-06
273.18;4.2187e-06
283.61;4.4806e-06
294.05;4.7391e-06
304.49;4.9975e-06
314.92;5.276e-06
325.36;5.5545e-06
335.8;5.8501e-06
346.24;6.1126e-06
356.67;6.4319e-06
367.11;6.7358e-06
377.55;7.0525e-06
387.99;7.3765e-06
398.43;7.7318e-06
408.87;8.0482e-06
419.31;8.3977e-06
429.76;8.7563e-06
440.2;9.1185e-06
450.64;9.4989e-06
466.78;1.009e-05
477.22;1.0484e-05
487.67;1.089e-05
498.35;1.1303e-05
508.56;1.174e-05
519.0;1.2132e-05
529.45;1.2584e-05
539.42;1.3007e-05
548.92;1.3437e-05
558.42;1.3856e-05
567.91;1.4278e-05
577.41;1.4711e-05
586.91;1.5151e-05
596.15;1.5577e-05
604.49;1.6011e-05
613.51;1.6421e-05
621.59;1.6836e-05
630.14;1.7263e-05
638.21;1.7686e-05
649.14;1.8205e-05
