X;Y
4.0;1.3630894627887147e-05
8.0;1.0812073079681847e-05
12.0;1.3672544771270247e-05
16.0;1.7901107776921594e-05
20.0;2.3724519867023384e-05
24.0;2.9743619252001216e-05
28.0;5.0717474816838864e-05
32.0;5.8979047959265335e-05
36.0;6.654942081303186e-05
40.0;8.131567480628838e-05
44.0;9.030193095367068e-05
48.0;0.00010689652216509251
52.0;0.00011699000327798786
56.0;0.00013363984461284642
60.0;0.0001435231156162265
64.0;0.00019346412859619895
68.0;0.000208485730354987
72.0;0.00024437835623783503
76.0;0.0002809802689424671
80.0;0.0003299235112943616
