X;Y
2.6065;4.141e-05
3.0464;4.3212e-05
3.5029;4.5105e-05
3.9593;4.6733e-05
4.4156;4.838e-05
4.8721;5.0094e-05
5.3284;5.1692e-05
5.7848;5.332e-05
6.2412;5.4967e-05
6.6976;5.6631e-05
7.1541;5.8597e-05
7.6104;5.9955e-05
8.0666;6.1289e-05
8.523;6.2851e-05
8.9795;6.4846e-05
9.4359;6.6493e-05
9.9026;6.7974e-05
10.349;6.9805e-05
10.805;7.1433e-05
11.261;7.308e-05
11.718;7.4744e-05
12.174;7.6391e-05
12.631;7.8332e-05
13.087;7.9779e-05
13.543;8.1094e-05
14.0;8.2799e-05
14.456;8.4606e-05
14.92;8.6425e-05
15.369;8.7918e-05
15.825;8.9546e-05
16.282;9.1193e-05
16.738;9.2858e-05
17.195;9.4504e-05
17.651;9.6133e-05
18.107;9.7889e-05
18.564;9.9641e-05
19.02;0.0001009
19.476;0.00010247
19.904;0.00010412
