X;Y
0.0;0.0
0.26668;3.8364
0.41562;5.83411
0.56853;8.08587
0.6823;9.71582
0.84259;11.60339
1.00146;13.67908
1.16033;15.70599
1.29934;17.48868
1.50786;20.1536
1.86532;24.59794
2.04008;26.69069
2.31215;30.15777
2.48757;32.06148
2.65968;34.50757
2.83841;36.70011
3.01714;38.91433
3.19587;41.07434
3.3746;43.2452
3.55333;45.43774
3.73206;47.58692
3.91079;49.72526
4.08952;51.87444
4.26825;53.98025
4.44698;56.06439
4.62571;58.17021
4.80444;60.23267
4.9931;62.42536
5.18176;64.50966
5.36049;66.52876
5.54915;68.62931
5.74774;70.75929
5.94137;72.87221
6.15485;75.12673
6.36337;77.28614
6.56196;79.28929
