X;Y
-48.149;0.074416
-45.13;0.073468
-42.11;0.072752
-39.089;0.07202
-36.068;0.071388
-33.048;0.070706
-30.026;0.070224
-27.005;0.069641
-24.052;0.069158
-20.961;0.068826
-17.939;0.068377
-14.916;0.068127
-11.894;0.067828
-8.8711;0.067512
-5.848;0.067295
-2.8242;0.067196
0.19804;0.06683
3.2223;0.06683
6.2466;0.06683
9.2709;0.06683
12.295;0.06683
15.32;0.06683
18.344;0.06683
21.369;0.066963
24.394;0.067196
27.417;0.06694
30.443;0.067203
33.471;0.067844
36.497;0.068144
39.522;0.068377
45.575;0.069142
48.601;0.069458
51.629;0.070028
54.655;0.070357
57.682;0.070789
60.709;0.071372
63.736;0.071837
66.763;0.07242
69.791;0.072985
72.819;0.073601
75.799;0.074014
78.875;0.074949
81.903;0.075597
84.931;0.076346
87.959;0.077078
90.988;0.077843
94.016;0.078642
97.045;0.079424
100.12;0.080252
103.1;0.081154
106.13;0.082069
109.16;0.082968
112.19;0.083899
115.22;0.084831
118.25;0.085846
121.28;0.086844
124.4;0.08783
127.34;0.088891
130.37;0.089989
133.4;0.09112
136.43;0.092218
139.46;0.093366
142.49;0.094564
145.52;0.095729
148.5;0.09731
