X;Y
1.286e-06;0.010155
1.4948e-06;0.010985
1.7375e-06;0.011948
2.0681e-06;0.013052
2.4616e-06;0.014276
2.93e-06;0.015632
3.4875e-06;0.017084
4.1511e-06;0.018664
4.941e-06;0.020405
5.8811e-06;0.022309
7.0002e-06;0.024372
8.3321e-06;0.026593
9.9432e-06;0.02885
1.1804e-05;0.031663
1.405e-05;0.034549
1.6723e-05;0.037668
1.9905e-05;0.041118
2.3692e-05;0.04462
2.82e-05;0.048899
3.3566e-05;0.053461
3.9953e-05;0.058427
4.7555e-05;0.063853
5.5827e-05;0.069816
7.1779e-05;0.0787
8.5436e-05;0.085808
0.00010168;0.092205
0.00012104;0.1013
0.00014179;0.10722
0.00016482;0.11823
0.00019519;0.13077
0.00022358;0.1409
0.00026716;0.15211
0.00031798;0.16442
0.00037847;0.17856
0.00044693;0.19471
0.00052781;0.21487
0.00062188;0.23418
0.00073159;0.25618
0.00087611;0.28041
0.00104;0.30104
0.0012131;0.32917
0.0014089;0.3595
0.0016769;0.38873
0.0019853;0.41834
0.0023754;0.45063
0.002827;0.47886
0.0033645;0.5101
0.0040041;0.54103
0.004765;0.56687
0.0056707;0.59676
0.0067242;0.61688
0.0080304;0.64972
0.0095558;0.67222
0.011371;0.70072
0.013717;0.73605
0.016568;0.76759
0.019163;0.79441
0.022803;0.81781
0.027134;0.84527
0.03229;0.88215
0.038424;0.91524
0.045724;0.94697
0.054409;0.97777
0.06474;0.99699
0.077036;1.0258
0.091664;1.0471
0.10835;1.0568
0.12978;1.0871
0.15441;1.0984
0.18372;1.1064
0.21859;1.1114
0.26007;1.1142
0.30943;1.117
0.36816;1.1247
0.43804;1.1306
0.52114;1.1189
0.62003;1.1173
0.73769;1.1174
0.87768;1.1176
0.9803;1.1177
