X;Y
0.0;0.0
3.1672;0.0
3.3763;0.004658
3.5267;0.10453
3.6771;0.2229
3.8275;0.36346
4.2787;0.96639
4.4291;1.229
4.5795;1.536
4.7299;1.8689
4.8802;2.2499
5.0306;2.679
5.181;3.1414
5.3314;3.6333
5.4818;4.1771
5.6322;4.78
5.7826;5.4237
5.9289;6.0503
6.0401;6.7189
6.1927;7.447
6.3431;8.3125
6.726;10.722
6.849;11.595
6.972;12.49
7.0883;13.378
7.1908;14.282
7.4027;16.008
7.5053;16.904
7.601;17.758
7.6967;18.647
7.7855;19.574
7.9496;21.155
8.0267;22.187
8.099;22.856
8.1957;23.808
8.2777;24.792
8.3529;25.585
8.4281;26.46
8.5101;27.436
8.5922;28.413
8.7111;30.099
8.8041;31.131
8.8724;31.969
8.9408;32.864
9.0092;33.784
9.0678;34.798
9.1732;36.049
9.2279;36.77
9.2963;37.739
9.3646;38.723
9.4373;39.904
