X;Y
0.0;0.0
0.26966;0.95465
0.52006;1.9093
0.71604;2.5106
0.86449;2.9758
1.0129;3.4227
1.1614;3.8332
1.2896;4.1513
1.6067;5.025
1.9037;5.6446
2.0405;6.0068
2.2006;6.3567
2.349;6.6364
2.4975;6.907
2.6459;7.1715
2.7944;7.439
2.9428;7.664
3.0913;7.9103
3.2397;8.1201
3.3882;8.3146
3.5366;8.5062
3.6851;8.7099
3.8335;8.9045
3.9849;9.0908
4.1304;9.2298
4.2789;9.3879
4.4273;9.5429
4.5758;9.6676
4.7242;9.8075
4.8727;9.9838
5.0211;10.115
5.1696;10.194
5.3181;10.309
5.5088;10.501
5.7634;10.625
5.9175;10.708
6.0487;10.763
6.2088;10.899
6.3572;10.966
6.5057;11.027
6.6541;11.13
6.8026;11.218
6.951;11.276
7.0995;11.331
7.2479;11.388
7.3964;11.452
7.5448;11.507
7.6933;11.568
7.8417;11.626
8.1386;11.781
8.2871;11.793
8.4355;11.851
8.584;11.908
8.7324;11.969
8.8809;12.024
9.0294;12.069
9.1778;12.082
9.3263;12.121
9.4747;12.176
9.6232;12.237
9.7716;12.291
9.9257;12.26
10.217;12.389
10.365;12.443
10.514;12.45
10.662;12.486
10.811;12.541
10.959;12.583
11.108;12.583
11.256;12.638
11.405;12.65
11.553;12.671
11.701;12.717
11.85;12.72
11.971;12.771
