X;Y
2.0542;6.8459e-06
2.2848;6.745e-06
2.4988;6.5508e-06
2.7127;6.3898e-06
2.9267;6.2287e-06
3.1407;6.1198e-06
3.3546;5.9966e-06
3.5686;5.9066e-06
3.7826;5.7977e-06
3.9965;5.8119e-06
4.2105;5.6224e-06
4.4245;5.5561e-06
4.6384;5.5182e-06
4.8524;5.504e-06
5.0663;5.4661e-06
5.2803;5.3998e-06
5.4943;5.3998e-06
5.7082;5.3998e-06
5.9327;5.5009e-06
6.1362;5.4519e-06
6.3501;5.4519e-06
6.5641;5.5182e-06
6.7781;5.5561e-06
6.992;5.6509e-06
7.206;5.7219e-06
7.42;5.8072e-06
7.6339;5.9066e-06
7.8479;5.9919e-06
8.0493;6.096e-06
8.2758;6.1861e-06
8.4898;6.3235e-06
8.7037;6.4608e-06
8.9177;6.6266e-06
9.1317;6.7734e-06
9.3456;6.925e-06
9.5596;7.0718e-06
9.7736;7.2613e-06
9.9917;7.3983e-06
10.201;7.6497e-06
10.415;7.8344e-06
10.629;8.0428e-06
10.843;8.2702e-06
11.057;8.488e-06
11.271;8.7012e-06
11.485;8.9427e-06
11.699;9.3212e-06
12.127;9.7467e-06
12.341;9.9232e-06
12.968;1.0817e-05
