X;Y
2.6964;5.3473e-06
3.0839;5.381e-06
3.4714;5.4581e-06
3.8588;5.4822e-06
4.2463;5.5593e-06
4.6338;5.5882e-06
5.0212;5.6027e-06
5.4087;5.6894e-06
5.7961;5.7617e-06
6.1836;5.7906e-06
6.5711;5.8677e-06
6.9585;5.8918e-06
7.346;5.9689e-06
7.7335;5.9978e-06
8.1209;6.0701e-06
8.5084;6.099e-06
8.8958;6.1712e-06
9.2833;6.2002e-06
9.6708;6.2772e-06
10.058;6.3254e-06
10.446;6.3736e-06
10.833;6.4122e-06
11.221;6.4748e-06
11.608;6.5182e-06
11.996;6.576e-06
12.383;6.6242e-06
12.77;6.6724e-06
13.158;6.7302e-06
13.545;6.7736e-06
13.933;6.8362e-06
14.32;6.8699e-06
14.708;6.9422e-06
15.086;6.9731e-06
15.483;7.0482e-06
15.87;7.0723e-06
16.258;7.1494e-06
16.645;7.1783e-06
17.033;7.2506e-06
17.42;7.2795e-06
17.807;7.3518e-06
18.195;7.3807e-06
18.582;7.4578e-06
18.97;7.4819e-06
19.357;7.559e-06
19.745;7.5879e-06
19.991;7.6312e-06
