X;Y
2.0903;1.5943e-05
2.3043;1.6313e-05
2.5182;1.6701e-05
2.7322;1.7085e-05
2.9462;1.7487e-05
3.1601;1.7871e-05
3.3741;1.8259e-05
3.588;1.8638e-05
3.802;1.9027e-05
4.016;1.941e-05
4.4439;2.0132e-05
4.8718;2.0945e-05
5.0858;2.1343e-05
5.2998;2.1727e-05
5.5137;2.2106e-05
5.7277;2.2503e-05
5.9491;2.2882e-05
6.1556;2.328e-05
6.3696;2.3659e-05
6.5835;2.4038e-05
6.7975;2.4417e-05
7.0115;2.4801e-05
7.2254;2.5203e-05
7.4394;2.5577e-05
7.8673;2.634e-05
8.0646;2.6613e-05
8.2953;2.7098e-05
8.5092;2.7496e-05
8.7232;2.7875e-05
8.9372;2.8272e-05
9.1511;2.8647e-05
10.007;3.0078e-05
10.649;3.1323e-05
10.863;3.1702e-05
11.077;3.2081e-05
11.291;3.245e-05
11.505;3.2829e-05
11.719;3.3232e-05
11.949;3.3673e-05
12.147;3.4128e-05
12.789;3.5065e-05
12.946;3.5337e-05
