X;Y
0.0;5.9672e-10
4.823;4.6508e-10
12.595;4.2547e-10
21.608;4.2133e-10
34.237;4.1932e-10
46.865;4.1856e-10
59.493;4.1856e-10
72.121;4.1856e-10
84.749;4.1856e-10
97.376;4.1856e-10
110.0;4.1856e-10
122.63;4.1482e-10
135.26;4.1398e-10
147.89;4.1338e-10
160.52;4.1338e-10
173.15;4.1338e-10
185.77;4.1338e-10
198.4;4.1298e-10
211.03;4.1269e-10
223.66;4.1631e-10
236.28;4.1856e-10
248.91;4.1856e-10
261.54;4.1581e-10
274.17;4.1581e-10
286.8;4.1581e-10
299.42;4.1532e-10
312.05;4.1308e-10
324.68;4.1049e-10
337.31;4.1049e-10
349.94;4.1049e-10
362.56;4.1271e-10
375.19;4.1308e-10
387.82;4.1308e-10
400.45;4.1333e-10
413.08;4.1308e-10
425.7;4.1308e-10
438.33;4.1308e-10
450.96;4.1308e-10
463.59;4.1308e-10
476.21;4.1308e-10
488.84;4.1234e-10
501.47;4.1049e-10
514.1;4.1086e-10
526.73;4.1049e-10
539.36;4.1049e-10
551.98;4.1049e-10
564.61;4.1234e-10
577.24;4.1308e-10
589.87;4.1308e-10
602.49;4.116e-10
615.12;4.1037e-10
627.75;4.1037e-10
640.38;4.1037e-10
653.01;4.0841e-10
665.63;4.0816e-10
678.26;4.089e-10
690.89;4.0865e-10
703.52;4.1012e-10
716.14;4.1308e-10
728.77;4.1308e-10
741.4;4.1037e-10
754.03;4.0865e-10
766.66;4.0865e-10
779.29;4.0865e-10
791.91;4.0865e-10
804.54;4.0865e-10
817.17;4.0865e-10
829.8;4.0816e-10
842.42;4.0816e-10
855.05;4.0694e-10
867.68;4.0719e-10
880.31;4.0792e-10
892.94;4.0767e-10
905.56;4.0767e-10
918.19;4.0767e-10
930.82;4.0767e-10
943.45;4.0767e-10
956.08;4.0743e-10
968.7;4.0597e-10
981.33;4.0597e-10
992.81;4.0618e-10
