X;Y
0.0;1e-09
1.6543;6.2946e-10
7.9318;4.4881e-10
11.068;3.8236e-10
16.576;2.9254e-10
21.729;2.4587e-10
29.225;2.1135e-10
36.72;1.8208e-10
45.364;1.5625e-10
56.3;1.365e-10
68.955;1.213e-10
81.603;1.1094e-10
94.248;1.0237e-10
106.89;9.6599e-11
119.53;9.1527e-11
132.17;8.7243e-11
144.81;8.3459e-11
157.44;8.0127e-11
170.08;7.7669e-11
182.71;7.4971e-11
195.35;7.2627e-11
207.98;7.0738e-11
220.62;6.898e-11
233.25;6.7346e-11
245.88;6.5751e-11
258.51;6.4309e-11
271.15;6.3012e-11
283.78;6.1373e-11
296.41;6.0642e-11
309.04;5.9597e-11
321.67;5.864e-11
334.31;5.7942e-11
346.94;5.7118e-11
359.57;5.6302e-11
372.2;5.5164e-11
384.83;5.4441e-11
397.46;5.3857e-11
410.09;5.3025e-11
422.72;5.2299e-11
435.35;5.1537e-11
447.98;5.1091e-11
460.61;5.0634e-11
473.24;5.0121e-11
485.87;4.9613e-11
498.5;4.9228e-11
511.13;4.9022e-11
523.76;4.8787e-11
536.39;4.8729e-11
549.02;4.8758e-11
561.65;4.8729e-11
574.27;4.87e-11
586.9;4.87e-11
599.53;4.8612e-11
612.16;4.8554e-11
624.79;4.8525e-11
637.41;4.8481e-11
650.04;4.8525e-11
662.67;4.822e-11
675.3;4.8177e-11
687.93;4.8177e-11
700.55;4.8177e-11
713.18;4.8177e-11
725.81;4.8568e-11
738.44;4.8525e-11
751.06;4.8438e-11
763.69;4.8438e-11
776.32;4.8438e-11
788.95;4.8481e-11
801.58;4.8359e-11
814.2;4.8223e-11
826.83;4.8183e-11
839.46;4.8142e-11
852.09;4.8142e-11
864.72;4.8102e-11
877.34;4.8102e-11
889.97;4.8183e-11
902.6;4.8223e-11
915.23;4.8102e-11
927.86;4.8142e-11
940.48;4.8102e-11
953.11;4.8102e-11
965.74;4.8142e-11
978.37;4.8183e-11
991.0;4.7901e-11
997.88;4.7861e-11
