X;Y
0.0;2.163e-10
2.0659;1.006e-10
3.6962;7.0459e-11
5.3065;5.3946e-11
8.4752;3.9858e-11
11.628;3.1623e-11
11.684;2.4646e-11
11.732;1.9905e-11
13.435;1.2943e-11
13.739;1.5505e-11
14.972;1.0675e-11
19.605;8.8555e-12
27.106;7.4389e-12
38.348;6.2574e-12
54.761;4.6893e-12
67.411;4.2412e-12
80.05;4.034e-12
92.687;3.8729e-12
105.32;3.7519e-12
117.95;3.6773e-12
130.59;3.6085e-12
143.22;3.4874e-12
155.85;3.4273e-12
168.49;3.3743e-12
181.12;3.3261e-12
194.22;3.3003e-12
206.38;3.2415e-12
219.01;3.2164e-12
231.64;3.18e-12
244.27;3.1317e-12
256.9;3.0972e-12
269.53;3.0861e-12
282.16;3.064e-12
294.79;3.0457e-12
307.42;3.0239e-12
320.05;3.0076e-12
332.67;2.9843e-12
345.3;2.9682e-12
357.93;2.9629e-12
370.56;2.9487e-12
383.19;2.9355e-12
395.82;2.929e-12
408.45;2.9103e-12
421.08;2.9004e-12
433.7;2.8997e-12
446.33;2.8778e-12
458.96;2.8446e-12
471.59;2.831e-12
484.22;2.8293e-12
496.85;2.8124e-12
509.48;2.8124e-12
522.11;2.8124e-12
534.73;2.8124e-12
547.36;2.8124e-12
559.99;2.8225e-12
572.62;2.831e-12
585.24;2.831e-12
597.87;2.8267e-12
610.5;2.831e-12
623.13;2.831e-12
635.75;2.848e-12
648.38;2.8682e-12
661.01;2.8713e-12
673.64;2.8682e-12
686.26;2.8713e-12
698.89;2.8962e-12
711.52;2.8997e-12
724.14;2.8962e-12
736.77;2.8927e-12
749.4;2.8927e-12
762.03;2.8927e-12
774.66;2.9045e-12
787.28;2.907e-12
799.91;2.9104e-12
812.54;2.907e-12
825.17;2.9213e-12
837.79;2.925e-12
850.42;2.925e-12
863.05;2.925e-12
875.68;2.925e-12
888.3;2.9373e-12
900.93;2.9399e-12
913.56;2.9364e-12
926.19;2.9364e-12
938.82;2.925e-12
951.44;2.925e-12
964.07;2.9267e-12
976.7;2.9066e-12
989.33;2.925e-12
