X;Y
0.0;4.5715e-08
6.4562;4.0843e-08
17.751;3.983e-08
29.368;3.9822e-08
40.985;3.9813e-08
52.601;3.9576e-08
64.217;3.9568e-08
75.834;3.956e-08
87.451;3.9552e-08
99.068;3.9544e-08
110.69;3.9536e-08
122.3;3.9527e-08
133.92;3.9354e-08
145.53;3.9284e-08
157.15;3.9276e-08
168.77;3.9268e-08
180.39;3.926e-08
192.0;3.9252e-08
203.62;3.9244e-08
215.24;3.9235e-08
226.85;3.9227e-08
238.47;3.9219e-08
250.09;3.9211e-08
261.7;3.9203e-08
273.32;3.9195e-08
284.94;3.9187e-08
296.55;3.9179e-08
308.17;3.9171e-08
319.79;3.9163e-08
331.41;3.9155e-08
343.02;3.9147e-08
354.64;3.9139e-08
366.26;3.9131e-08
377.87;3.9123e-08
389.49;3.9115e-08
401.11;3.9107e-08
412.72;3.9099e-08
424.34;3.9091e-08
435.96;3.9083e-08
447.57;3.9075e-08
459.19;3.9067e-08
470.81;3.9059e-08
482.43;3.9051e-08
494.04;3.9042e-08
505.66;3.9034e-08
517.28;3.9026e-08
528.89;3.9018e-08
540.51;3.901e-08
552.13;3.9002e-08
563.74;3.8994e-08
575.36;3.8986e-08
586.98;3.8978e-08
598.59;3.897e-08
610.21;3.8881e-08
621.83;3.8914e-08
633.44;3.8722e-08
645.06;3.8714e-08
656.68;3.8706e-08
668.29;3.8698e-08
679.91;3.869e-08
691.53;3.8682e-08
703.15;3.8675e-08
714.76;3.8667e-08
726.38;3.8659e-08
738.0;3.8651e-08
749.61;3.8643e-08
761.23;3.8635e-08
772.85;3.8627e-08
784.46;3.8619e-08
796.08;3.8611e-08
807.7;3.8603e-08
819.31;3.8595e-08
830.93;3.8587e-08
842.55;3.8398e-08
854.16;3.8349e-08
865.78;3.8342e-08
877.4;3.8334e-08
889.01;3.8326e-08
900.63;3.8318e-08
912.25;3.831e-08
923.87;3.8302e-08
935.48;3.8294e-08
947.1;3.8286e-08
958.72;3.8279e-08
970.33;3.8271e-08
981.95;3.8263e-08
993.57;3.8255e-08
1005.2;3.8247e-08
1016.8;3.8239e-08
1028.4;3.8231e-08
1040.0;3.8224e-08
1051.7;3.8216e-08
1063.3;3.8208e-08
1074.9;3.82e-08
1086.5;3.8192e-08
1098.1;3.8184e-08
1109.7;3.8176e-08
1121.4;3.8169e-08
1133.0;3.8161e-08
1144.6;3.8153e-08
1156.2;3.8145e-08
1167.8;3.8137e-08
1179.4;3.8129e-08
1188.9;3.8123e-08
