X;Y
0.0;3.9307e-08
0.82368;3.4555e-08
1.3233;3.0201e-08
1.4677;2.5993e-08
2.494;2.2566e-08
4.1723;1.9429e-08
6.4819;1.6941e-08
8.0368;1.4746e-08
9.2108;1.2612e-08
11.533;1.0655e-08
15.852;8.9474e-09
20.456;7.7236e-09
25.297;6.7482e-09
33.19;5.9095e-09
41.613;5.2314e-09
52.149;4.6488e-09
63.745;4.1981e-09
75.344;3.8674e-09
86.946;3.6003e-09
98.55;3.3906e-09
110.16;3.2116e-09
121.76;3.058e-09
133.37;2.9286e-09
144.98;2.8121e-09
156.59;2.7101e-09
168.2;2.6215e-09
179.81;2.5397e-09
191.42;2.4644e-09
203.03;2.3951e-09
214.64;2.3313e-09
226.25;2.2741e-09
237.86;2.2229e-09
249.48;2.1717e-09
261.09;2.1251e-09
272.7;2.0827e-09
284.32;2.0455e-09
295.93;2.0057e-09
307.54;1.9688e-09
319.15;1.9357e-09
330.77;1.905e-09
342.38;1.8739e-09
354.0;1.8462e-09
365.61;1.818e-09
377.22;1.792e-09
388.84;1.7674e-09
400.45;1.744e-09
412.07;1.7209e-09
423.68;1.699e-09
435.29;1.6774e-09
446.91;1.6578e-09
458.52;1.6385e-09
470.14;1.6202e-09
481.75;1.6021e-09
493.37;1.5851e-09
504.98;1.569e-09
516.6;1.5539e-09
528.21;1.5382e-09
539.83;1.5226e-09
551.44;1.5072e-09
563.06;1.4935e-09
574.67;1.4815e-09
586.29;1.4681e-09
597.9;1.4547e-09
609.52;1.4423e-09
621.13;1.4337e-09
632.75;1.4207e-09
644.36;1.4181e-09
655.98;1.4112e-09
667.6;1.4035e-09
679.21;1.401e-09
690.83;1.4007e-09
702.45;1.4004e-09
714.06;1.4001e-09
725.68;1.3999e-09
737.3;1.3996e-09
748.91;1.3993e-09
760.53;1.3968e-09
772.15;1.3907e-09
783.76;1.3904e-09
795.38;1.3901e-09
807.0;1.3898e-09
818.61;1.3895e-09
830.23;1.3892e-09
841.85;1.3889e-09
853.46;1.3857e-09
865.08;1.3804e-09
876.7;1.3801e-09
888.31;1.3798e-09
899.93;1.3795e-09
911.55;1.3792e-09
923.16;1.379e-09
934.78;1.3787e-09
946.4;1.3784e-09
958.02;1.3781e-09
969.63;1.3778e-09
981.25;1.3775e-09
992.87;1.3773e-09
1004.5;1.377e-09
1016.1;1.3767e-09
1027.7;1.3764e-09
1039.3;1.3761e-09
1051.0;1.3759e-09
1062.6;1.3756e-09
1074.2;1.3753e-09
1085.8;1.375e-09
1097.4;1.3747e-09
1109.0;1.3744e-09
1120.7;1.3742e-09
1132.3;1.3739e-09
1143.9;1.3736e-09
1155.5;1.3733e-09
1167.1;1.373e-09
1178.7;1.3727e-09
1190.4;1.3725e-09
1198.8;1.3707e-09
