X;Y
0.0;1.2228e-08
0.57791;1.077e-08
0.55115;9.4861e-09
0.52438;8.355e-09
1.0228;7.2603e-09
0.99605;6.3946e-09
0.96928;5.6321e-09
1.4693;4.932e-09
1.0887;4.3065e-09
2.1156;3.7494e-09
3.1415;3.2487e-09
4.1172;2.7335e-09
5.6803;2.2627e-09
6.1994;1.9251e-09
7.4392;1.6202e-09
8.3806;1.3695e-09
8.5612;1.1841e-09
8.5344;1.0429e-09
8.5076;9.1857e-10
8.1279;8.0532e-10
8.9793;7.0317e-10
9.4805;6.1897e-10
9.4537;5.4516e-10
9.0726;4.7493e-10
9.606;4.123e-10
11.473;3.5128e-10
15.66;2.9329e-10
20.789;2.4982e-10
24.649;2.1793e-10
31.294;1.9191e-10
41.945;1.689e-10
53.544;1.547e-10
65.148;1.4561e-10
76.755;1.3879e-10
88.363;1.3341e-10
99.973;1.2877e-10
111.58;1.2476e-10
123.19;1.2144e-10
134.81;1.1883e-10
146.42;1.1628e-10
158.03;1.1378e-10
169.65;1.1186e-10
181.26;1.1021e-10
192.87;1.0812e-10
204.49;1.0647e-10
216.1;1.0523e-10
227.72;1.0433e-10
239.33;1.03e-10
250.94;1.0132e-10
262.56;1.004e-10
274.17;9.938e-11
285.79;9.8219e-11
297.4;9.7634e-11
309.02;9.6696e-11
320.63;9.5768e-11
332.25;9.4948e-11
343.86;9.374e-11
355.48;9.3525e-11
367.09;9.2529e-11
378.71;9.2316e-11
390.32;9.1286e-11
401.94;9.0362e-11
413.56;9.0249e-11
425.17;8.9664e-11
436.79;8.9177e-11
448.4;8.9018e-11
460.02;8.8163e-11
471.64;8.7868e-11
483.25;8.7482e-11
494.87;8.7052e-11
506.48;8.6126e-11
518.1;8.6018e-11
529.71;8.5102e-11
541.33;8.4996e-11
552.95;8.4978e-11
564.56;8.4783e-11
576.18;8.4013e-11
587.8;8.3951e-11
599.41;8.3451e-11
611.03;8.2954e-11
622.64;8.2937e-11
634.26;8.292e-11
645.88;8.2903e-11
657.49;8.2755e-11
669.11;8.2176e-11
680.73;8.2808e-11
692.34;8.2835e-11
703.96;8.2817e-11
715.58;8.2714e-11
727.2;8.3044e-11
738.81;8.2897e-11
750.43;8.3447e-11
762.05;8.2863e-11
773.66;8.2846e-11
785.28;8.3133e-11
796.9;8.3641e-11
808.52;8.3624e-11
820.13;8.3651e-11
831.75;8.4074e-11
843.37;8.3748e-11
854.99;8.426e-11
866.6;8.3714e-11
878.22;8.4314e-11
889.84;8.4473e-11
901.45;8.4456e-11
913.07;8.4439e-11
924.69;8.4421e-11
936.3;8.4404e-11
947.92;8.4564e-11
959.54;8.517e-11
971.16;8.5331e-11
982.77;8.5001e-11
994.39;8.5207e-11
1006.0;8.5279e-11
1017.6;8.5261e-11
1029.2;8.5244e-11
1040.9;8.5316e-11
1052.5;8.5388e-11
1064.1;8.5684e-11
1075.7;8.6072e-11
1087.3;8.6145e-11
1098.9;8.6127e-11
1110.6;8.6109e-11
1122.2;8.6318e-11
1133.8;8.63e-11
1145.4;8.6691e-11
1157.0;8.64e-11
1168.7;8.6928e-11
1180.3;8.6501e-11
1191.9;8.6938e-11
1199.3;8.6638e-11
