X;Y
0.0;0.0
2.0435;0.0
2.1951;10.326
2.3467;18.374
2.4983;32.4
2.65;53.03
2.8016;72.702
2.9532;96.539
3.1048;115.34
3.2564;134.15
3.408;154.3
3.5597;175.55
3.7113;198.14
3.8629;222.81
4.0145;250.4
4.1592;278.34
4.2971;306.69
4.428;335.48
4.5521;364.88
4.6692;393.97
4.7795;422.85
4.8898;452.9
4.9931;482.6
5.0896;511.0
5.1861;540.93
5.2826;571.44
5.3791;602.76
5.4618;630.55
5.5376;657.86
5.6203;687.64
5.703;718.53
5.7857;750.1
5.8684;782.34
5.9442;812.69
6.0131;840.9
6.082;869.11
6.1509;898.13
6.2199;927.95
6.2888;958.57
6.3577;988.39
6.4266;1018.5
6.4955;1049.1
6.5644;1081.0
6.6196;1099.8
