X;Y
0.0;0.0
1.8919;0.0
2.0435;10.57
2.1951;14.844
2.3467;27.886
2.4983;46.594
2.65;72.035
2.8016;95.522
2.9532;115.13
3.1048;140.87
3.2564;163.34
3.408;186.9
3.5597;211.69
3.7113;237.95
3.8629;266.52
4.0076;295.94
4.1455;325.76
4.2764;355.92
4.3936;384.56
4.5038;412.94
4.6141;442.83
4.7175;472.04
4.814;500.25
4.9104;529.23
5.0069;559.93
5.1034;590.83
5.1907;620.81
5.2795;642.58
5.3584;678.91
5.4411;708.9
5.5238;740.7
5.6065;771.81
5.6892;803.83
5.7719;837.41
5.8477;868.31
5.9166;897.05
5.9855;926.6
6.0545;956.42
6.1234;985.98
6.1923;1015.5
6.2612;1045.6
6.3232;1073.0
6.399;1098.5
