X;Y
1.1085;0.00054632
1.2651;0.00052982
1.4125;0.00051418
1.5599;0.00049873
1.7165;0.00048243
1.8732;0.00046645
2.0299;0.0004509
2.205;0.00043399
2.3802;0.00041774
2.5555;0.00040174
2.74;0.00038542
2.9246;0.00036962
3.1184;0.00035353
3.3215;0.00033744
3.5247;0.00032135
3.7279;0.00030592
3.9311;0.00029129
4.1344;0.00027666
4.3377;0.00026196
4.541;0.00024807
4.7445;0.0002361
4.9481;0.00022566
5.1519;0.00021635
5.3556;0.0002071
5.5594;0.00019826
5.7633;0.00019001
5.9672;0.00018263
6.1711;0.00017578
6.3752;0.00016967
6.5793;0.00016415
6.7834;0.00015929
6.9876;0.0001551
7.1919;0.00015118
7.3961;0.00014772
7.6004;0.0001444
7.8047;0.00014127
8.009;0.00013821
8.2133;0.00013529
8.4177;0.00013249
8.622;0.0001297
8.8263;0.00012697
9.0307;0.00012418
9.235;0.00012152
9.4394;0.00011886
9.6437;0.0001162
9.848;0.00011334
9.9781;0.00011141
