X;Y
0.0;0.0
0.13034;41.864
0.21898;62.225
0.30528;85.173
0.41216;113.0
0.57927;160.03
0.67617;190.29
0.76783;210.42
0.8667;237.58
0.96198;262.05
1.0573;286.48
1.1361;303.93
1.2219;330.44
1.3171;355.16
1.4009;377.1
1.5077;404.83
1.603;429.31
1.6983;453.78
1.7935;477.88
1.8888;501.98
1.9841;525.84
2.0794;549.7
2.1746;573.31
2.2699;596.32
2.3651;619.69
2.4604;642.69
2.5557;665.93
2.6509;688.45
2.7461;710.35
2.8414;732.74
2.9366;755.25
3.0319;777.15
3.1271;799.05
3.2223;820.47
3.3176;841.76
3.4128;863.17
3.508;884.58
3.6032;905.13
3.6985;925.69
3.7937;946.12
3.8889;966.31
3.9841;986.62
4.0793;1006.6
4.1745;1026.3
4.2697;1046.0
4.3649;1064.9
4.4601;1085.2
4.5552;1098.3
