X;Y
66.08;0.00080256
135.09;0.0039144
158.1;0.0048493
181.1;0.0058376
204.1;0.0068259
227.1;0.0078142
250.11;0.0088025
273.11;0.0098442
296.12;0.010939
319.12;0.011941
342.13;0.012996
434.16;0.017483
457.17;0.01877
480.17;0.019794
503.19;0.021014
549.22;0.023863
595.23;0.025791
618.24;0.027215
641.25;0.028439
664.27;0.029757
687.28;0.030919
710.28;0.032028
733.29;0.033203
825.36;0.038701
848.38;0.040281
871.4;0.041657
894.41;0.043099
917.43;0.044528
940.45;0.045971
963.47;0.047426
986.49;0.048909
1009.5;0.050378
1032.5;0.051887
1053.5;0.053274
