X;Y
1.0854;0.015531
1.2937;0.015971
1.502;0.016106
1.7104;0.016523
1.9188;0.01693
2.1271;0.017346
2.3355;0.017763
2.5439;0.0182
2.7523;0.018616
2.9606;0.019053
3.169;0.019489
3.3774;0.019936
3.5858;0.020382
3.7942;0.020829
4.0026;0.021275
4.211;0.021731
4.4194;0.022178
4.6278;0.022654
4.8362;0.02313
5.0446;0.023606
5.253;0.024082
5.4614;0.024539
5.6698;0.025025
5.8782;0.025521
6.0866;0.026007
6.295;0.026503
6.5034;0.026999
6.7118;0.027525
6.9202;0.028031
7.1286;0.028567
7.3371;0.029102
7.5455;0.029628
7.7539;0.030174
7.9623;0.03069
8.1708;0.031255
8.3792;0.031771
8.5876;0.032336
8.796;0.032852
9.0045;0.033418
9.2129;0.033934
9.4213;0.034499
9.6297;0.035025
9.8382;0.03558
9.9992;0.035995
