X;Y
55.75;0.0041013
101.75;0.0059934
124.75;0.0069193
147.76;0.007921
170.76;0.0089093
193.76;0.0099243
216.77;0.010913
239.77;0.011901
262.77;0.012916
285.78;0.013878
308.78;0.014879
331.78;0.015854
354.79;0.016842
377.79;0.017831
400.79;0.018819
423.79;0.019794
446.8;0.020796
469.8;0.021771
492.8;0.022719
515.81;0.023734
538.81;0.024695
560.77;0.025693
586.56;0.026888
607.82;0.0277
630.82;0.028595
649.3;0.029557
676.53;0.030669
701.92;0.03176
724.93;0.032789
839.93;0.037356
862.93;0.038291
885.93;0.03928
908.93;0.040214
931.94;0.041176
954.94;0.042138
977.94;0.043086
1000.9;0.044034
1023.9;0.044982
1046.9;0.04593
1060.5;0.046525
