X;Y
1.0855;0.015809
1.2939;0.016444
1.5024;0.017158
1.7109;0.017882
1.9089;0.01859
2.1279;0.019321
2.3364;0.019956
2.5449;0.02065
2.7534;0.021344
2.9619;0.022059
3.1704;0.022763
3.3788;0.023467
3.5873;0.024182
3.7958;0.024896
4.0043;0.02559
4.2128;0.026325
4.4213;0.027039
4.6298;0.027733
4.8383;0.028467
5.0468;0.029182
5.2553;0.029906
5.4638;0.03061
5.6723;0.031344
5.8808;0.032059
6.0893;0.032773
6.2978;0.033527
6.5063;0.034241
6.7148;0.034955
6.9233;0.035709
7.1318;0.036443
7.3403;0.037178
7.5488;0.037912
7.7573;0.038646
7.9658;0.0394
8.1743;0.040124
8.3828;0.040858
8.5914;0.041612
8.7999;0.042336
9.0084;0.04307
9.2169;0.043804
9.4254;0.044539
9.6339;0.045293
9.8424;0.046027
10.003;0.046581
