X;Y
1.1699e-06;0.00034957
1.5914e-06;0.00040091
2.1646e-06;0.00046733
2.9443e-06;0.00054436
4.0049e-06;0.00063408
5.4475e-06;0.00073914
7.4097e-06;0.00086096
1.0079e-05;0.0010029
1.3709e-05;0.001169
1.8647e-05;0.0013607
2.5364e-05;0.0015861
3.4501e-05;0.0018462
4.6928e-05;0.0021521
6.3833e-05;0.0025049
8.6826e-05;0.0029199
0.00011484;0.003364
0.0001519;0.0039904
0.00020662;0.0046639
0.00028105;0.0053608
0.00038228;0.006227
0.00051999;0.0073217
0.00070729;0.0085264
0.00096206;0.0098367
0.0013086;0.011416
0.00178;0.013096
0.0024211;0.014905
0.0032933;0.017237
0.0044795;0.019763
0.0060931;0.022176
0.0082879;0.025398
0.011273;0.028472
0.015334;0.031618
0.020857;0.034921
0.028371;0.038455
0.03859;0.042143
0.05249;0.045777
0.071398;0.049341
0.097116;0.052712
0.1321;0.055733
0.17968;0.059103
0.2444;0.061483
0.33244;0.063347
0.45219;0.064739
0.61507;0.065578
0.83663;0.066624
1.138;0.066645
1.5479;0.066665
2.1055;0.066686
2.8639;0.066706
3.8955;0.066727
5.2987;0.066747
7.2073;0.066768
9.2702;0.067096
