X;Y
0.0;3.56225e-08
5.99283;2.83329e-08
23.5066;2.70283e-08
39.9751;2.70283e-08
56.4437;2.70283e-08
72.9122;2.70283e-08
89.3807;2.70283e-08
105.849;2.70283e-08
122.318;2.70283e-08
138.786;2.70283e-08
155.255;2.70283e-08
171.723;2.70283e-08
188.192;2.70283e-08
204.66;2.70283e-08
221.129;2.70283e-08
237.598;2.68926e-08
254.068;2.678e-08
270.536;2.678e-08
287.005;2.678e-08
303.473;2.678e-08
319.942;2.678e-08
336.41;2.678e-08
352.879;2.678e-08
369.347;2.678e-08
385.816;2.678e-08
402.284;2.678e-08
418.753;2.678e-08
435.221;2.678e-08
451.69;2.678e-08
468.158;2.678e-08
484.627;2.678e-08
501.095;2.678e-08
517.565;2.66456e-08
534.034;2.6534e-08
550.503;2.6534e-08
566.971;2.6534e-08
583.44;2.6534e-08
599.908;2.6534e-08
616.377;2.6534e-08
632.845;2.6534e-08
649.314;2.6534e-08
665.782;2.6534e-08
682.251;2.6534e-08
698.719;2.6534e-08
715.188;2.6534e-08
731.657;2.6534e-08
748.125;2.6534e-08
764.594;2.6534e-08
781.062;2.6534e-08
797.531;2.6534e-08
813.999;2.6534e-08
830.468;2.6534e-08
846.936;2.6534e-08
863.405;2.6534e-08
879.873;2.6534e-08
896.342;2.6534e-08
912.81;2.6534e-08
929.279;2.6534e-08
945.747;2.6534e-08
962.216;2.6534e-08
978.684;2.6534e-08
995.153;2.6534e-08
1011.62;2.6534e-08
1028.09;2.6534e-08
1044.56;2.6534e-08
1061.03;2.6534e-08
1077.5;2.6534e-08
1093.96;2.6534e-08
1110.43;2.6534e-08
1126.9;2.6534e-08
1143.37;2.6534e-08
1159.84;2.6534e-08
1176.31;2.6534e-08
1192.03;2.6534e-08
