X;Y
0.0;2.01788e-08
1.55834;2.56511e-08
1.74821;1.58251e-08
4.93723;1.24299e-08
9.3227;9.82939e-09
11.7747;7.25536e-09
19.3057;5.69173e-09
27.5802;4.58762e-09
38.8468;3.73887e-09
53.8508;3.13927e-09
70.3442;2.74722e-09
86.8323;2.47369e-09
103.316;2.27462e-09
119.798;2.11805e-09
136.278;1.99055e-09
152.757;1.88806e-09
169.234;1.79838e-09
185.711;1.72306e-09
202.187;1.65643e-09
218.662;1.5964e-09
235.137;1.54371e-09
251.611;1.49778e-09
268.086;1.45078e-09
284.559;1.41472e-09
301.033;1.37493e-09
317.505;1.34414e-09
333.978;1.31403e-09
350.451;1.2846e-09
366.923;1.25688e-09
383.395;1.23389e-09
399.867;1.21133e-09
416.339;1.18917e-09
432.811;1.16938e-09
449.283;1.14896e-09
465.754;1.13079e-09
482.226;1.11197e-09
498.697;1.09623e-09
515.168;1.08161e-09
531.639;1.06719e-09
548.11;1.05119e-09
564.581;1.03804e-09
581.052;1.02765e-09
597.523;1.01224e-09
613.993;1.00463e-09
630.464;9.92896e-10
646.933;9.89569e-10
663.404;9.78014e-10
679.873;9.74737e-10
696.341;9.74737e-10
712.81;9.74737e-10
729.278;9.74737e-10
745.747;9.74737e-10
762.215;9.74737e-10
778.684;9.74737e-10
795.152;9.74737e-10
811.621;9.74737e-10
828.089;9.74737e-10
844.558;9.74737e-10
861.026;9.74737e-10
877.495;9.74737e-10
893.964;9.73103e-10
910.433;9.67404e-10
926.902;9.65782e-10
943.371;9.65782e-10
959.839;9.65782e-10
976.308;9.65782e-10
992.776;9.65782e-10
1009.24;9.65782e-10
1025.71;9.65782e-10
1042.18;9.65782e-10
1058.65;9.65782e-10
1075.12;9.65782e-10
1091.59;9.65782e-10
1108.06;9.65782e-10
1124.52;9.65782e-10
1140.99;9.65782e-10
1157.46;9.59322e-10
1173.93;9.61739e-10
1190.4;9.5691e-10
1199.38;9.5691e-10
