X;Y
0.0;8.68595e-09
0.550499;7.08987e-09
1.33979;5.69874e-09
1.38205;4.54315e-09
1.76473;2.90704e-09
2.17412;3.59782e-09
3.30145;2.35106e-09
5.28326;1.9431e-09
7.87237;1.53493e-09
9.45864;9.51626e-10
9.71471;1.2008e-09
11.1416;3.51226e-10
11.467;6.82191e-10
11.514;5.3009e-10
11.5519;4.32684e-10
14.0975;2.72749e-10
20.6635;2.16884e-10
28.9473;1.66313e-10
40.2181;1.32534e-10
55.9693;1.12079e-10
72.4577;1.00751e-10
88.9411;9.30321e-11
105.422;8.71388e-11
121.9;8.25831e-11
138.378;7.87927e-11
154.854;7.57461e-11
171.329;7.30621e-11
187.804;7.06508e-11
204.277;6.87215e-11
220.75;6.71259e-11
237.224;6.52381e-11
253.697;6.38304e-11
270.17;6.22961e-11
286.642;6.10542e-11
303.114;5.99879e-11
319.586;5.86443e-11
336.057;5.78623e-11
352.529;5.6995e-11
369.0;5.60936e-11
385.472;5.52065e-11
401.943;5.44247e-11
418.414;5.38343e-11
434.886;5.27611e-11
451.356;5.23642e-11
467.826;5.17962e-11
484.297;5.11913e-11
500.768;5.05087e-11
517.238;5.00867e-11
533.708;4.97517e-11
550.179;4.90471e-11
566.649;4.8719e-11
583.12;4.81097e-11
599.588;4.80694e-11
616.06;4.73092e-11
632.529;4.72298e-11
648.999;4.69139e-11
665.468;4.67959e-11
681.937;4.66392e-11
698.403;4.71902e-11
714.872;4.69533e-11
731.34;4.72298e-11
747.808;4.72298e-11
764.276;4.73489e-11
780.745;4.73489e-11
797.213;4.75479e-11
813.68;4.78681e-11
830.148;4.8029e-11
846.616;4.81097e-11
863.085;4.81097e-11
879.553;4.81097e-11
896.022;4.81097e-11
912.489;4.8515e-11
928.956;4.87599e-11
945.425;4.8719e-11
961.892;4.9006e-11
978.361;4.9006e-11
994.829;4.9006e-11
1011.3;4.90883e-11
1027.76;4.94603e-11
1044.23;4.96683e-11
1060.7;4.96266e-11
1077.17;4.99189e-11
1093.64;4.99189e-11
1110.11;4.99189e-11
1126.57;4.99608e-11
1143.04;5.02973e-11
1159.51;5.00028e-11
1175.98;5.08063e-11
1192.45;5.07211e-11
