X;Y
0.0;0.0
3.1208;0.0
3.2599;3.5008
3.399;4.6399
3.5381;7.4153
3.6773;11.227
3.8164;13.402
3.9555;17.405
4.0947;22.008
4.234;29.152
4.3731;34.213
4.5098;40.882
4.6559;49.759
4.7909;59.612
4.9303;70.514
5.0696;82.562
5.2027;95.241
5.3294;108.12
5.4498;121.63
5.5576;134.53
5.6591;147.39
5.7605;160.85
5.8557;174.22
5.9445;187.45
6.1158;214.39
6.192;227.12
6.3006;243.05
6.4078;265.69
6.484;280.12
6.5602;294.55
6.6301;308.61
6.6936;321.59
6.7572;335.05
6.8207;349.0
6.8843;362.82
6.9478;377.12
7.005;390.1
7.0622;403.56
7.1258;418.7
7.183;432.31
7.2339;445.38
7.2848;458.59
7.3357;471.51
7.3866;484.28
7.4375;497.95
7.4884;511.61
7.5393;525.73
7.5902;539.1
7.6411;553.51
7.7175;575.14
7.762;585.96
