X;Y
0.0;0.0
2.3876;0.0
2.5266;2.9195
2.6658;5.0404
2.8049;6.9431
2.944;10.428
3.0831;13.312
3.2223;18.597
3.3615;24.208
3.5008;31.402
3.6401;40.59
3.7794;50.425
3.9187;60.837
4.058;71.848
4.191;84.231
4.3115;97.511
4.4319;109.57
4.6284;135.78
4.7552;150.32
4.844;161.23
4.9202;174.78
5.0216;189.02
5.1105;203.1
5.1993;217.53
5.2882;231.36
5.3644;245.53
5.4317;260.44
5.5196;275.99
5.6057;291.1
5.739;317.24
5.7962;329.68
5.8598;342.66
5.9296;357.33
5.9996;373.19
6.0631;387.25
6.1267;401.79
6.1966;416.82
6.2475;429.99
6.451;480.5
6.5082;494.56
6.5718;510.67
6.629;524.51
6.6863;540.82
6.7435;553.95
6.7945;570.17
6.8454;584.44
6.909;599.26
