X;Y
103.12;0.0004203
113.91;0.00042158
124.7;0.00042285
135.48;0.0004533
146.27;0.00049348
157.06;0.000498
167.85;0.00049927
178.63;0.00052648
189.42;0.00056666
200.21;0.00057441
211.0;0.00057569
221.79;0.00059641
232.57;0.00063335
243.36;0.00065083
254.15;0.0006521
264.94;0.0006631
275.72;0.00070004
286.51;0.00072725
297.3;0.00072852
308.09;0.0007298
318.87;0.00076349
329.66;0.00080043
340.45;0.00080494
351.24;0.00080621
362.03;0.0008237
372.81;0.00085739
383.6;0.00088136
394.39;0.00088263
405.18;0.00088391
415.96;0.0009176
426.75;0.00094805
437.54;0.00095905
448.33;0.00096032
459.11;0.00096484
469.9;0.00099853
480.69;0.0010355
491.48;0.0010367
502.26;0.001038
513.05;0.001049
523.84;0.0010795
534.63;0.0011132
545.42;0.0011144
556.2;0.0011157
566.99;0.0011235
577.78;0.0011539
588.57;0.0011909
596.9;0.0011918
