X;Y
0.11062;0.0019498
0.29417;0.0017855
0.47771;0.001618
0.66126;0.001473
0.8448;0.0013313
1.0284;0.0012055
1.2119;0.001128
1.3954;0.0010151
1.579;0.00094075
1.7625;0.00086961
1.9461;0.00081453
2.1296;0.00075303
2.3132;0.00072043
2.4967;0.00066535
2.6803;0.00064881
2.8638;0.00059694
3.0474;0.00057718
3.2309;0.00055421
3.4144;0.00051198
3.598;0.00049543
3.7815;0.00047568
3.9651;0.00045271
4.1486;0.00042332
4.3322;0.00040999
4.5157;0.00043519
4.6993;0.00043791
4.8828;0.00041173
5.0664;0.00038234
5.2499;0.00033047
5.4334;0.00028181
5.617;0.00023958
5.8005;0.00020377
5.9841;0.00020006
6.1676;0.00019636
6.3512;0.00019266
6.5347;0.00018896
6.7183;0.00018526
6.9018;0.00018156
7.0854;0.00017786
7.2689;0.00017416
7.4525;0.00017046
7.636;0.00016676
7.8195;0.00016306
8.0031;0.00015936
8.1866;0.00014281
8.3702;0.00011663
8.5537;0.00011293
8.7373;8.0333e-05
8.9208;7.021e-05
9.1044;6.651e-05
9.2879;6.2809e-05
9.4715;7.8376e-05
9.655;9.0731e-05
9.8385;8.7031e-05
10.022;9.2964e-05
