X;Y
0.0;0.0
0.098242;18.255
0.19285;30.043
0.69075;92.977
0.7839;102.31
0.877;114.22
0.97011;125.65
1.0632;137.21
1.1563;149.05
1.2494;160.61
1.3426;172.23
1.4357;183.96
1.5288;195.52
1.6219;206.87
1.715;218.1
1.8081;229.45
1.9012;240.74
1.9918;250.87
2.0875;262.61
2.1813;271.37
2.2737;285.35
2.3668;296.54
2.4599;307.66
2.5531;318.3
2.6462;329.15
2.7393;339.9
2.8324;350.7
2.9256;361.01
3.0187;371.75
3.1118;382.82
3.2049;393.19
3.2981;403.66
3.3912;413.86
3.4843;424.17
3.5775;434.26
3.6706;444.29
3.7637;454.44
3.8569;464.37
3.95;473.8
4.0432;483.29
4.1363;493.44
4.2294;503.64
4.3226;513.24
4.4157;522.29
4.5089;532.16
4.602;541.65
4.6952;551.04
4.7883;560.14
4.8815;569.36
4.9746;578.58
5.0678;587.69
5.1609;597.81
