X;Y
103.12;0.0019538
113.91;0.0022176
124.7;0.0024783
135.48;0.0027519
146.27;0.0030255
157.06;0.0032926
167.85;0.0035662
178.63;0.0038398
189.42;0.0041231
200.21;0.0044129
211.0;0.0047157
221.79;0.0050185
232.57;0.0053245
243.36;0.0056273
254.15;0.0059365
264.94;0.006262
275.72;0.006581
286.51;0.0069
297.3;0.0072254
308.09;0.0075412
318.87;0.0078894
329.66;0.0082343
340.45;0.0085986
351.24;0.0088917
362.03;0.0092204
372.81;0.0095723
383.6;0.010004
394.39;0.010365
405.18;0.010733
415.96;0.01112
426.75;0.011494
437.54;0.011872
448.33;0.012265
459.11;0.012659
469.9;0.013052
480.69;0.013446
491.48;0.013839
502.26;0.014249
513.05;0.014662
523.84;0.015088
534.63;0.015511
545.42;0.01594
556.2;0.016369
566.99;0.016802
577.78;0.017231
588.57;0.01767
596.9;0.018006
