X;Y
0.11062;0.0028361
0.29417;0.0030636
0.47771;0.0032686
0.66126;0.0033621
0.8448;0.0036631
1.0284;0.0038483
1.2119;0.0040264
1.3954;0.0042423
1.579;0.0044763
1.7625;0.004723
1.9461;0.0049538
2.1296;0.0051845
2.3132;0.0054152
2.4967;0.0056459
2.6803;0.0058798
2.8638;0.0061041
3.0474;0.0063177
3.2309;0.0064869
3.4144;0.0066466
3.598;0.0068568
3.7815;0.0070458
3.9651;0.0072348
4.1486;0.0074301
4.3322;0.0076384
4.5157;0.0078177
4.6993;0.0080227
4.8828;0.0082278
5.0664;0.008436
5.2499;0.0086218
5.4334;0.0088204
5.617;0.0090061
5.8005;0.0091951
5.9841;0.0093905
6.1676;0.0095795
6.3512;0.0097813
6.5347;0.0099703
6.7183;0.01015
6.9018;0.010332
7.0854;0.010524
7.2689;0.010723
7.4525;0.010896
7.636;0.011078
7.8195;0.011251
8.0031;0.01144
8.1866;0.011629
8.3702;0.011809
8.5537;0.011978
8.7373;0.012151
8.9208;0.012337
9.1044;0.01252
9.2879;0.012705
9.4715;0.012862
9.655;0.013045
9.8385;0.013218
9.9637;0.01334
