X;Y
103.12;0.0034742
113.91;0.0037251
124.7;0.0039663
135.48;0.0042237
146.27;0.0044649
157.06;0.0047158
167.85;0.0049959
178.63;0.0052176
189.42;0.0054523
200.21;0.0056967
211.0;0.0059379
221.79;0.0061694
232.57;0.0064041
243.36;0.0066355
254.15;0.0068735
264.94;0.0071082
275.72;0.0073104
286.51;0.0075775
297.3;0.0078058
308.09;0.0080291
318.87;0.008246
329.66;0.0083996
340.45;0.0086376
351.24;0.0088917
362.03;0.0091134
372.81;0.0093465
383.6;0.0095828
394.39;0.0098045
405.18;0.010013
415.96;0.010222
426.75;0.010431
437.54;0.010633
448.33;0.010848
459.11;0.011051
469.9;0.011259
480.69;0.011468
491.48;0.01167
502.26;0.011879
513.05;0.012078
523.84;0.012274
534.63;0.01247
545.42;0.012669
556.2;0.012865
566.99;0.013044
577.78;0.013243
588.57;0.013442
596.9;0.013584
