X;Y
0.093936;0.0022331
0.27748;0.0025742
0.46103;0.0029708
0.64457;0.0031329
0.82812;0.0033584
1.0117;0.0036127
1.1952;0.0038225
1.3788;0.0040821
1.5623;0.0043196
1.7458;0.0046046
1.9294;0.0048995
2.1129;0.0051495
2.2965;0.0053963
2.48;0.0056238
2.6636;0.0058609
2.8471;0.006082
3.0307;0.006323
3.2142;0.0065633
3.3978;0.0068282
3.5813;0.0071171
3.7649;0.0074507
3.9484;0.0077039
4.1319;0.0079539
4.3155;0.0082039
4.499;0.0084635
4.6826;0.0087231
4.8661;0.0089667
5.0497;0.0092295
5.2332;0.0094763
5.4168;0.0097231
5.6003;0.0099763
5.7839;0.010229
5.9674;0.010479
6.1509;0.010729
6.3345;0.010983
6.518;0.011229
6.7016;0.011479
6.8851;0.011729
7.0687;0.011986
7.2522;0.012223
7.4358;0.012473
7.6193;0.012729
7.8029;0.012982
7.9864;0.01322
8.1699;0.013466
8.3535;0.01372
8.537;0.01396
8.7206;0.01421
8.9041;0.014463
9.0877;0.014716
9.2712;0.01495
9.4548;0.015194
9.6383;0.015447
9.8219;0.015694
9.9553;0.015874
