X;Y
1.1408e-06;1.6842e-05
1.5347e-06;2.1823e-05
2.0511e-06;2.9138e-05
2.7412e-06;3.8904e-05
3.6635e-06;5.1676e-05
4.8961e-06;6.9088e-05
6.5434e-06;9.2366e-05
8.745e-06;0.00012285
1.1687e-05;0.00016381
1.562e-05;0.00021844
2.0875e-05;0.00029128
2.7898e-05;0.00038892
3.7285e-05;0.00051929
4.983e-05;0.00068708
6.6596e-05;0.000915
8.9002e-05;0.001217
0.00011895;0.0016102
0.00015897;0.0021305
0.00020288;0.0026912
0.00027917;0.0038498
0.0003745;0.0048483
0.00049395;0.0064828
0.00066015;0.0083762
0.00088226;0.010523
0.0011791;0.013334
0.0015758;0.016341
0.002106;0.019785
0.0028146;0.02462
0.0037616;0.028864
0.0050272;0.033407
0.0067187;0.038419
0.0089792;0.044683
0.012;0.051988
0.016038;0.058706
0.021434;0.065014
0.028646;0.071813
0.038284;0.078912
0.051165;0.0846
0.06838;0.089643
0.091387;0.096729
0.12213;0.10451
0.16323;0.11161
0.21815;0.11658
0.29154;0.12194
0.38964;0.12988
0.52073;0.13745
0.69594;0.1447
0.89403;0.15101
