X;Y
0.57951;0.00755
0.67295;0.00754
0.78145;0.00752
0.90746;0.00752
1.05377;0.0075
1.22369;0.0075
1.43068;0.0075
1.66137;0.0075
1.92924;0.0075
2.24032;0.0075
2.60155;0.0075
3.04162;0.00748
3.53205;0.00747
4.10156;0.00745
4.7629;0.00745
5.53087;0.00744
6.42267;0.00742
7.45827;0.0074
8.66084;0.0074
10.05732;0.00738
11.67897;0.00737
13.56209;0.00736
15.74885;0.00732
18.28821;0.00726
21.23701;0.00722
24.82942;0.00722
29.17783;0.00728
33.88248;0.00734
39.3457;0.00742
45.68983;0.00749
52.42971;0.00755
