X;Y
0.0;3.1959e-08
0.33193;2.9412e-08
0.98711;2.4132e-08
1.5888;2.3603e-08
2.1906;2.3372e-08
2.7924;2.3372e-08
3.3943;2.3372e-08
3.9961;2.3372e-08
4.5979;2.3199e-08
5.1998;2.3161e-08
5.8016;2.3161e-08
6.4035;2.3142e-08
7.0053;2.2953e-08
7.6071;2.2953e-08
8.209;2.2953e-08
8.8108;2.2953e-08
9.4126;2.2953e-08
10.014;2.2953e-08
10.616;2.2953e-08
11.218;2.2953e-08
11.82;2.2953e-08
12.422;2.2953e-08
13.024;2.2953e-08
13.626;2.2953e-08
14.227;2.2953e-08
14.829;2.2953e-08
15.431;2.2953e-08
16.033;2.2953e-08
16.635;2.3152e-08
17.237;2.3295e-08
17.839;2.2953e-08
18.44;2.2953e-08
19.042;2.2953e-08
19.644;2.2953e-08
20.246;2.2953e-08
20.848;2.2953e-08
21.45;2.2953e-08
22.051;2.2953e-08
22.653;2.2953e-08
23.255;2.2953e-08
23.857;2.2953e-08
24.459;2.2953e-08
25.061;2.2953e-08
25.663;2.2953e-08
26.264;2.2953e-08
26.866;2.2953e-08
27.468;2.2953e-08
28.07;2.2953e-08
28.672;2.2953e-08
29.274;2.2953e-08
29.889;2.3144e-08
