X;Y
0.0;1.2611e-08
0.40013;1.0686e-08
0.53165;9.0512e-09
0.70439;6.4599e-09
0.72972;4.822e-09
0.82181;3.5442e-09
1.2454;2.6662e-09
1.7091;2.1952e-09
2.2824;1.8624e-09
2.8834;1.6411e-09
3.4846;1.4859e-09
4.0859;1.3709e-09
4.6872;1.2806e-09
5.2887;1.2071e-09
5.8902;1.1453e-09
6.4917;1.0947e-09
7.0932;1.0455e-09
7.6948;1.0075e-09
8.2964;9.7098e-10
8.898;9.3651e-10
9.4997;9.0998e-10
10.101;8.8201e-10
10.703;8.6196e-10
11.305;8.396e-10
11.906;8.1984e-10
12.508;8.0186e-10
13.11;7.8556e-10
13.711;7.6644e-10
14.313;7.5087e-10
14.915;7.3621e-10
15.517;7.2007e-10
16.118;7.0775e-10
16.72;6.9565e-10
17.322;6.8488e-10
17.923;6.7372e-10
18.525;6.6383e-10
19.127;6.5355e-10
19.729;6.4502e-10
20.33;6.387e-10
20.932;6.2984e-10
21.534;6.1958e-10
22.136;6.135e-10
22.738;6.0649e-10
23.339;5.9808e-10
23.941;5.9076e-10
24.543;5.8448e-10
25.145;5.7543e-10
25.746;5.6979e-10
26.348;5.6466e-10
26.95;5.5638e-10
27.552;5.5319e-10
28.153;5.4507e-10
28.755;5.4017e-10
29.357;5.3531e-10
29.904;5.289e-10
