X;Y
0.0;4.0541e-09
0.69988;3.3743e-09
0.68441;2.6075e-09
0.80314;1.3885e-09
0.80506;1.829e-09
1.0313;1.0988e-09
1.3747;9.0914e-10
1.8931;7.4411e-10
2.4938;6.366e-10
3.0949;5.6745e-10
3.6961;5.1546e-10
4.2974;4.756e-10
4.8987;4.4426e-10
5.5002;4.2255e-10
6.1018;4.0289e-10
6.7033;3.8478e-10
7.3048;3.6718e-10
7.9064;3.5473e-10
8.508;3.3879e-10
9.1096;3.2919e-10
9.7112;3.196e-10
10.313;3.0901e-10
10.915;3.0273e-10
11.516;2.9585e-10
12.118;2.8889e-10
12.72;2.8209e-10
13.321;2.759e-10
13.923;2.6941e-10
14.525;2.6393e-10
15.126;2.5878e-10
15.728;2.5456e-10
16.33;2.5021e-10
16.932;2.4634e-10
17.533;2.4232e-10
18.135;2.3916e-10
18.737;2.3584e-10
19.339;2.3257e-10
19.94;2.2916e-10
20.542;2.258e-10
21.144;2.234e-10
21.746;2.2066e-10
22.347;2.1743e-10
22.949;2.1423e-10
23.551;2.1126e-10
24.153;2.0834e-10
24.754;2.0528e-10
25.356;2.0227e-10
25.958;2.0078e-10
26.56;1.9815e-10
27.161;1.9637e-10
27.763;1.9429e-10
28.365;1.9128e-10
28.967;1.8925e-10
29.569;1.8754e-10
30.006;1.8501e-10
30.005;1.5248e-10
