X;Y
0.0;0.0
0.38267;0.0
0.50542;4.06331
0.61251;11.35716
0.6666;15.76873
0.71577;21.18815
0.76249;27.9374
0.81166;35.04783
0.93214;55.81355
1.00836;72.96591
1.04278;79.45705
1.07229;86.56893
1.10425;94.5721
1.13375;101.9425
1.1608;109.36746
1.1903;117.45461
1.21489;125.40008
1.24685;133.40016
1.27144;141.019
1.29603;147.85762
1.32062;155.8449
1.3452;163.24391
1.36733;171.23311
1.39192;179.69718
1.41896;188.52002
1.44109;196.27991
1.46076;202.81141
1.48043;210.13532
1.5001;217.29669
1.52469;225.64465
1.5419;232.74636
1.55911;239.26841
1.57878;247.07996
1.59845;253.91623
1.61812;262.13414
1.63779;270.59586
1.65992;278.04169
1.67762;286.20293
1.69729;294.20953
1.71893;302.73721
1.80498;337.8338
1.82023;344.33204
1.83695;352.53228
1.8524;361.45641
1.86842;369.9071
1.88557;379.7041
1.91527;388.54318
1.93628;397.89125
