X;Y
0.0;0.0
23.229416;0.000237
33.674235;0.000292
43.766118;0.000337
54.417108;0.000376
64.727392;0.000414
74.586896;0.000448
85.237886;0.000478
95.54817;0.000506
105.407673;0.000528
115.691749;0.000548
126.136568;0.000574
136.228451;0.000596
146.512527;0.000616
156.859502;0.000637
166.546032;0.000654
177.333305;0.000675
187.68028;0.000694
198.027255;0.00071
209.034676;0.000729
219.479495;0.000748
229.571378;0.000765
239.855454;0.000784
250.202429;0.000802
260.549405;0.000818
270.847458;0.00083
281.023207;0.000844
291.370182;0.000854
302.377603;0.000863
312.724578;0.000869
323.071554;0.00087
334.409197;0.00087
344.756172;0.000869
354.615676;0.000869
364.899752;0.000869
375.246727;0.000869
385.593703;0.000862
396.050752;0.000857
