X;Y
0.58496;0.00143
0.62648;0.00143
0.75218;0.00142
0.80557;0.00141
0.97833;0.0014
1.04777;0.0014
1.258;0.0014
1.34729;0.00139
1.61762;0.00139
1.74236;0.00139
2.10395;0.00138
2.25328;0.00137
2.7054;0.00135
2.89742;0.00134
3.47878;0.00131
3.7257;0.0013
4.47324;0.00127
4.79075;0.00126
5.752;0.00123
6.16026;0.00122
7.3963;0.00119
7.96667;0.00118
9.51066;0.00114
10.18571;0.00113
12.22944;0.00107
15.37006;0.00099
16.461;0.00097
19.76385;0.0009
24.83937;0.00083
26.60243;0.00081
31.81868;0.00076
39.0119;0.00069
