X;Y
0.00106;0.02816
0.00123;0.03107
0.00141;0.03494
0.00163;0.03919
0.00187;0.04371
0.00216;0.04846
0.00248;0.05346
0.00286;0.05886
0.00329;0.06472
0.00379;0.07102
0.00436;0.07782
0.00502;0.08516
0.00578;0.09261
0.00665;0.10072
0.00766;0.1091
0.00881;0.11801
0.01015;0.12773
0.01168;0.13882
0.01345;0.15067
0.01548;0.16375
0.01782;0.17737
0.02051;0.19172
0.02361;0.20723
0.02718;0.22431
0.03129;0.24229
0.03602;0.26119
0.04146;0.28117
0.04773;0.30185
0.05494;0.32141
0.06325;0.34131
0.07281;0.36047
0.08382;0.37837
0.09649;0.39553
0.11107;0.40982
0.12786;0.42174
0.14719;0.43223
0.16943;0.44147
0.19505;0.4503
0.22453;0.45743
0.25847;0.45962
0.29754;0.46182
0.34251;0.46308
0.39429;0.4634
0.45389;0.46308
0.5225;0.46371
0.60148;0.4634
0.6924;0.4634
0.79706;0.46371
0.91755;0.4634
0.99077;0.46657
