X;Y
0.0;0.0
0.60231;0.001
0.68335;3.27254
0.74892;9.69014
0.79755;20.04738
0.86017;35.27815
0.89232;48.53735
0.96904;71.69448
1.00751;81.78054
1.04343;90.97731
1.15854;141.68112
1.1858;151.15744
1.20643;161.42919
1.22853;170.31427
1.25063;179.6155
1.27458;188.95201
1.29926;199.30139
1.31694;209.18378
1.33904;217.93014
1.36556;227.62123
1.38877;238.71919
1.40535;247.08227
1.43113;255.8992
1.45507;265.68654
1.47165;273.87623
1.49965;284.01168
1.51585;293.17226
1.5398;302.23134
1.56006;311.636
1.58584;321.59734
1.60426;331.07075
1.62821;339.92176
1.64847;349.53449
1.67425;358.97565
1.68951;369.10692
1.71661;379.36
1.74424;388.82256
1.77003;397.60482
