X;Y
0.0;0.0
12.77111;0.0008
21.07696;0.00126
31.8873;0.0015
42.29352;0.00179
52.24392;0.00205
61.73377;0.00229
72.27356;0.00253
82.45834;0.0028
93.20776;0.00308
103.61365;0.00336
112.80277;0.00362
123.05517;0.00389
133.83167;0.00419
143.78269;0.00447
153.27371;0.00473
163.81577;0.00503
174.00265;0.00534
183.4953;0.00564
194.03955;0.00598
203.72023;0.00631
214.09335;0.00669
224.50335;0.00706
236.32195;0.0075
246.73305;0.0079
258.5535;0.00838
268.9298;0.00883
279.52857;0.00928
290.31349;0.00977
302.10058;0.01033
312.34741;0.01083
323.45335;0.0114
333.57483;0.01193
343.95699;0.01251
354.16946;0.01307
364.42572;0.01366
374.28929;0.01421
385.98297;0.01489
396.46061;0.01539
