X;Y
0.0;0.0
9.09091;0.00057
15.73417;0.00082
22.37743;0.00112
29.0207;0.00124
36.02632;0.00148
42.30722;0.00162
48.95048;0.00184
54.98981;0.00192
62.84094;0.00219
69.4842;0.0023
77.21454;0.00249
81.86483;0.00262
94.24545;0.003
106.92804;0.00346
117.53042;0.00398
122.32833;0.00416
132.29323;0.00454
135.91682;0.00463
145.57975;0.00506
156.63172;0.00561
160.98004;0.0057
170.94493;0.00616
177.5882;0.00646
184.23146;0.00676
196.31012;0.00734
202.95338;0.00767
209.59664;0.00798
221.6753;0.00857
228.31856;0.0089
234.96182;0.00922
247.04048;0.00984
259.11914;0.01049
265.7624;0.01086
272.1037;0.01125
283.88039;0.01203
295.35512;0.01288
306.82984;0.01385
317.70064;0.01488
328.26946;0.01595
338.53632;0.01704
348.80318;0.01817
358.76808;0.01929
368.73297;0.02044
378.99983;0.02159
388.96472;0.02273
398.55216;0.02358
