X;Y
0.59665;0.00289
0.69038;0.003
0.89483;0.00317
1.02704;0.00328
1.29922;0.00343
1.50327;0.00363
1.94837;0.00395
2.30048;0.00423
2.87446;0.00488
3.27225;0.00522
4.10516;0.00598
4.63541;0.00639
5.86208;0.00742
7.09941;0.00853
8.23473;0.0094
10.07916;0.01112
11.24102;0.01216
12.78626;0.01355
14.67524;0.01499
16.23471;0.01603
19.08028;0.01794
20.51874;0.01878
22.97275;0.02035
24.50503;0.0212
26.77578;0.02285
28.33048;0.02377
30.21219;0.02538
32.4881;0.02638
34.08956;0.02791
35.77183;0.0293
37.54174;0.03033
