X;Y
0.00107;0.0146
0.00123;0.01624
0.00141;0.01827
0.00163;0.02048
0.00187;0.02286
0.00216;0.0253
0.00248;0.02797
0.00286;0.03078
0.00329;0.03382
0.00379;0.03713
0.00436;0.04066
0.00502;0.04453
0.00578;0.04852
0.00665;0.05267
0.00766;0.057
0.00881;0.0617
0.01015;0.06683
0.01168;0.07249
0.01345;0.07883
0.01548;0.0855
0.01782;0.09261
0.02051;0.10031
0.02361;0.10828
0.02718;0.11712
0.03129;0.12669
0.03602;0.13657
0.04146;0.14691
0.04773;0.15761
0.05494;0.16806
0.06325;0.17883
0.07281;0.18861
0.08382;0.19797
0.09649;0.20653
0.11107;0.21428
0.12786;0.22051
0.14719;0.226
0.16943;0.23083
0.19505;0.23529
0.22453;0.23885
0.25847;0.24098
0.29754;0.24098
0.34251;0.24163
0.39429;0.24263
0.45389;0.24279
0.5225;0.24279
0.60148;0.24279
0.6924;0.24279
0.79706;0.24279
0.91755;0.24279
