X;Y
0.0;0.0
4.5427;0.0017299
7.8027;0.0027686
13.749;0.0037855
22.378;0.0046823
31.546;0.0055979
41.788;0.006532
52.57;0.0074945
63.348;0.0083879
74.129;0.0093201
85.441;0.010113
97.288;0.010796
109.13;0.011396
120.97;0.011969
132.82;0.012519
144.66;0.013056
156.5;0.01357
168.34;0.014057
180.18;0.014512
192.01;0.014939
203.85;0.015308
215.68;0.015626
227.52;0.015897
239.35;0.016124
251.18;0.016328
263.01;0.016517
274.84;0.016697
286.67;0.016878
298.5;0.017066
310.33;0.017262
322.16;0.017462
333.99;0.017651
345.82;0.017839
357.64;0.018019
369.47;0.018204
381.3;0.018384
393.13;0.018569
400.12;0.018651
