X;Y
0.0;0.0
17.257;0.0026621
29.152;0.003994
41.047;0.0053332
52.941;0.0064659
64.836;0.0076791
76.971;0.0088463
88.626;0.01008
100.52;0.011355
112.42;0.012524
124.31;0.013723
136.21;0.014921
148.1;0.015729
160.21;0.016957
171.89;0.018243
184.87;0.0199
196.76;0.02152
208.66;0.022746
220.86;0.024387
231.91;0.025888
248.67;0.028375
261.1;0.030412
270.83;0.031627
286.51;0.034361
298.65;0.036652
308.14;0.037892
322.2;0.040466
335.9;0.043002
343.28;0.044389
357.88;0.04723
374.1;0.050409
387.54;0.053051
395.88;0.05455
