X;Y
0.0;0.0
16.525;0.002987
28.134;0.0047854
39.743;0.0066105
51.352;0.008516
62.961;0.010272
74.57;0.012063
86.179;0.01375
97.788;0.015442
109.4;0.017102
121.01;0.018744
132.62;0.020385
144.22;0.022027
155.83;0.023714
167.44;0.025367
179.05;0.0271
190.66;0.028857
202.27;0.030705
213.88;0.032587
225.49;0.034447
237.1;0.036375
248.71;0.038338
260.32;0.040358
271.92;0.042494
283.53;0.044697
295.14;0.047016
306.75;0.049473
318.36;0.052159
329.97;0.054799
341.05;0.057521
352.13;0.060286
363.21;0.063001
374.3;0.065842
385.38;0.068645
395.4;0.071145
