X;Y
0.0;6.19051581e-09
0.527345719;4.09211957e-09
0.535918801;5.32452633e-09
0.640731099;3.2010244e-09
0.630131459;2.62922188e-09
0.737565701;2.10029351e-09
0.984474565;1.62686819e-09
1.37365325;1.32435982e-09
1.84997555;1.11103078e-09
2.40089988;9.6566775e-10
2.95152558;8.65819687e-10
3.50197765;7.90450925e-10
4.05228389;7.32680205e-10
4.60246511;6.88025237e-10
5.15255605;6.52191443e-10
5.70254977;6.2451166e-10
6.25252264;5.99304769e-10
6.80253719;5.72626525e-10
7.35248924;5.50706714e-10
7.90237183;5.33467998e-10
8.4523586;5.1119634e-10
9.00218563;4.98066129e-10
9.55199878;4.85975192e-10
10.1018883;4.70422615e-10
10.6516667;4.60664587e-10
11.201466;4.50131844e-10
11.7512236;4.4175157e-10
12.3010089;4.32275706e-10
12.8508013;4.22697469e-10
13.4005727;4.14228707e-10
13.9503234;4.06810792e-10
14.500081;3.99237043e-10
15.0498455;3.91521201e-10
15.5995684;3.85623235e-10
16.1492982;3.79539686e-10
16.6990071;3.74363002e-10
17.24873;3.68723511e-10
17.798439;3.63694353e-10
18.3481341;3.59252752e-10
18.8978291;3.54865394e-10
19.4475242;3.50531616e-10
19.9972401;3.45500765e-10
20.5469352;3.41281352e-10
21.0966095;3.37845261e-10
21.6462907;3.34202116e-10
22.1959996;3.29643809e-10
22.7457017;3.25382776e-10
23.2953967;3.21409053e-10
23.8451057;3.17025235e-10
24.3948355;3.1202388e-10
24.9445028;3.09105701e-10
25.4942048;3.05110147e-10
26.0438583;3.02693888e-10
26.5935395;2.99429797e-10
27.1431998;2.96843885e-10
27.6928602;2.94280305e-10
28.2425761;2.90056776e-10
28.7922573;2.86928957e-10
29.3419037;2.84862505e-10
29.8416427;2.8122549e-10
