X;Y
0.0;0.0
0.76701;0.0
0.82898;6.20679
0.89101;15.5805
0.95304;25.60525
1.01511;38.84699
1.06876;54.21743
1.11113;67.63147
1.14786;80.97891
1.18178;94.21218
1.21571;108.46353
1.25083;120.4332
1.27795;137.80612
1.30907;152.54411
1.3374;169.11331
1.36287;181.60539
1.38837;197.95209
1.41102;209.80041
1.43371;225.77718
1.45636;238.43794
1.47622;253.06382
1.49888;266.34445
1.52157;282.31069
1.54426;298.57533
1.55566;312.26692
1.58112;324.10051
1.59535;338.74279
1.6147;358.43569
1.63116;371.37639
1.68582;400.4869
1.71413;420.78815
1.73149;435.45046
1.77203;472.94466
1.78949;490.71966
1.81529;507.40653
1.8452;541.54339
1.87072;558.7853
1.89513;577.51341
1.9077;595.01076
