X;Y
0.0;0.0
0.34611;0.0
0.41004;6.10752
0.47399;9.42227
0.53806;17.23459
0.77653;57.4444
0.82971;71.1569
0.88579;84.62688
0.9964;119.35601
1.03321;133.66267
1.07282;144.06612
1.12277;157.47935
1.15571;168.20634
1.19242;179.76663
1.23335;191.42493
1.27362;205.22631
1.34203;228.95475
1.38262;239.8662
1.42066;251.76075
1.45871;264.15154
1.49384;275.6555
1.52897;287.52511
1.56411;299.57754
1.59923;310.99008
1.63436;322.58545
1.66952;335.18637
1.70465;346.96457
1.73978;358.74277
1.77782;370.79402
1.81588;383.39376
1.851;394.89772
1.88906;407.34074
1.9271;419.36588
1.96515;431.83503
2.00611;444.59029
2.04414;456.15836
2.08218;468.22268
2.1202;479.16391
2.15827;492.24683
2.19922;504.45362
2.2469;520.73339
2.30389;534.24877
2.35132;549.99458
2.39226;562.04465
2.43028;573.012
2.47122;584.97066
2.52668;597.14304
